password3,
Date,Time,Layer #,Sub. Rot.,Sub. Rot. Speed,Sub. Z Height,C.M. Press.,VAT Press Mode,VAT Pos STPT,VAT Pos Mode,Gas#1 Flow,Gas#1 STPT,Gas#2 Flow,Gas#2 STPT,Gas#3 Flow,Gas#3 STPT,Sub. Temp.,Sub. Temp. STPT,RF#1 W Fbdk,RF#1 DC Bias,RF#1 Plasma,RF#1 Shutter,RF#1 TGT,RF#1 KWH,RF#1 STPT,RF#2 W Fbdk,RF#2 DC Bias,RF#2 Plasma,RF#2 Shutter,RF#2 TGT,RF#2 KWH,RF#2 STPT,RF#3 W Fbdk,RF#3 DC Bias,RF#3 Plasma,RF#3 Shutter,RF#3 TGT,RF#3 KWH,RF#3 STPT,DC#1 W Fdbk,DC#1 V Fdbk,DC#1 mA Fdbk,DC#1 Plasma,DC#1 Shutter,DC#1 TGT,DC#1 KWH,DC#1 STPT,DC#1 MODE,DC#2 W Fdbk,DC#2 V Fdbk,DC#2 mA Fdbk,DC#2 Plasma,DC#2 Shutter,DC#2 TGT,DC#2 KWH,DC#2 STPT,DC#2 MODE,DC#3 W Fdbk,DC#3 V Fdbk,DC#3 mA Fdbk,DC#3 Plasma,DC#3 Shutter,DC#3 TGT,DC#3 KWH,DC#3 STPT,DC#3 MODE,DC SWITCH POS,DC#5 W Fdbk,DC#5 V Fdbk,DC#5 mA Fdbk,DC#5 Plasma,DC#5 Shutter,DC#5 TGT,DC#5 KWH,DC#5 STPT,DC#5 MODE
30-Jan-25,11:32:40 AM,7,ON,30,0.00,3.0,ON,0.00,OFF,30.00,30.00,0.05,0.00,-0.01,0.00,20,0,0,0,OFF,Closed,100W MAX!,0.02,0,0,0,OFF,Closed,Al,0.11,0,0,0,OFF,Closed,Hf,0.03,0,0,0,0,OFF,Closed,Ti,0.26,0,Watts,0,0,0,OFF,Closed,Nb,0.38,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,162,391,421,ON,Open,Ta,0.14,160,Watts
30-Jan-25,11:32:42 AM,7,ON,30,0.00,3.0,ON,0.00,OFF,30.00,30.00,0.05,0.00,-0.01,0.00,21,0,0,0,OFF,Closed,100W MAX!,0.02,0,0,0,OFF,Closed,Al,0.11,0,0,0,OFF,Closed,Hf,0.03,0,0,0,0,OFF,Closed,Ti,0.26,0,Watts,0,0,0,OFF,Closed,Nb,0.38,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,162,391,421,ON,Open,Ta,0.14,160,Watts
30-Jan-25,11:32:44 AM,7,ON,30,0.00,3.0,ON,0.00,OFF,30.00,30.00,0.05,0.00,-0.01,0.00,21,0,0,0,OFF,Closed,100W MAX!,0.02,0,0,0,OFF,Closed,Al,0.11,0,0,0,OFF,Closed,Hf,0.03,0,0,0,0,OFF,Closed,Ti,0.26,0,Watts,0,0,0,OFF,Closed,Nb,0.38,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,162,391,421,ON,Open,Ta,0.14,160,Watts
30-Jan-25,11:32:46 AM,7,ON,30,0.00,3.0,ON,0.00,OFF,30.00,30.00,0.05,0.00,-0.01,0.00,21,0,0,0,OFF,Closed,100W MAX!,0.02,0,0,0,OFF,Closed,Al,0.11,0,0,0,OFF,Closed,Hf,0.03,0,0,0,0,OFF,Closed,Ti,0.26,0,Watts,0,0,0,OFF,Closed,Nb,0.38,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,162,391,421,ON,Open,Ta,0.14,160,Watts
30-Jan-25,11:32:48 AM,7,ON,30,0.00,2.9,ON,0.00,OFF,30.00,30.00,0.05,0.00,-0.01,0.00,20,0,0,0,OFF,Closed,100W MAX!,0.02,0,0,0,OFF,Closed,Al,0.11,0,0,0,OFF,Closed,Hf,0.03,0,0,0,0,OFF,Closed,Ti,0.26,0,Watts,0,0,0,OFF,Closed,Nb,0.38,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,162,390,421,ON,Open,Ta,0.14,160,Watts
30-Jan-25,11:32:50 AM,7,ON,30,0.00,2.9,ON,0.00,OFF,30.00,30.00,0.05,0.00,-0.01,0.00,20,0,0,0,OFF,Closed,100W MAX!,0.02,0,0,0,OFF,Closed,Al,0.11,0,0,0,OFF,Closed,Hf,0.03,0,0,0,0,OFF,Closed,Ti,0.26,0,Watts,0,0,0,OFF,Closed,Nb,0.38,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,162,390,421,ON,Open,Ta,0.14,160,Watts
30-Jan-25,11:32:52 AM,7,ON,30,0.00,3.0,ON,0.00,OFF,30.00,30.00,0.05,0.00,-0.01,0.00,19,0,0,0,OFF,Closed,100W MAX!,0.02,0,0,0,OFF,Closed,Al,0.11,0,0,0,OFF,Closed,Hf,0.03,0,0,0,0,OFF,Closed,Ti,0.26,0,Watts,0,0,0,OFF,Closed,Nb,0.38,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,162,390,422,ON,Open,Ta,0.14,160,Watts
30-Jan-25,11:32:54 AM,7,ON,30,0.00,3.0,ON,0.00,OFF,30.00,30.00,0.05,0.00,-0.01,0.00,19,0,0,0,OFF,Closed,100W MAX!,0.02,0,0,0,OFF,Closed,Al,0.11,0,0,0,OFF,Closed,Hf,0.03,0,0,0,0,OFF,Closed,Ti,0.26,0,Watts,0,0,0,OFF,Closed,Nb,0.38,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,162,390,422,ON,Open,Ta,0.14,160,Watts
30-Jan-25,11:32:57 AM,7,ON,30,0.00,2.9,ON,0.00,OFF,30.00,30.00,0.05,0.00,-0.01,0.00,20,0,0,0,OFF,Closed,100W MAX!,0.02,0,0,0,OFF,Closed,Al,0.11,0,0,0,OFF,Closed,Hf,0.03,0,0,0,0,OFF,Closed,Ti,0.26,0,Watts,0,0,0,OFF,Closed,Nb,0.38,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,162,390,422,ON,Open,Ta,0.14,160,Watts
30-Jan-25,11:32:59 AM,7,ON,30,0.00,2.9,ON,0.00,OFF,30.00,30.00,0.05,0.00,-0.01,0.00,20,0,0,0,OFF,Closed,100W MAX!,0.02,0,0,0,OFF,Closed,Al,0.11,0,0,0,OFF,Closed,Hf,0.03,0,0,0,0,OFF,Closed,Ti,0.26,0,Watts,0,0,0,OFF,Closed,Nb,0.38,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,162,387,425,ON,Open,Ta,0.14,160,Watts
30-Jan-25,11:33:01 AM,7,ON,30,0.00,2.9,ON,0.00,OFF,30.00,30.00,0.05,0.00,-0.01,0.00,20,0,0,0,OFF,Closed,100W MAX!,0.02,0,0,0,OFF,Closed,Al,0.11,0,0,0,OFF,Closed,Hf,0.03,0,0,0,0,OFF,Closed,Ti,0.26,0,Watts,0,0,0,OFF,Closed,Nb,0.38,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,162,387,425,ON,Open,Ta,0.14,160,Watts
30-Jan-25,11:33:03 AM,7,ON,30,0.00,3.1,ON,0.00,OFF,30.00,30.00,0.05,0.00,-0.01,0.00,20,0,0,0,OFF,Closed,100W MAX!,0.02,0,0,0,OFF,Closed,Al,0.11,0,0,0,OFF,Closed,Hf,0.03,0,0,0,0,OFF,Closed,Ti,0.26,0,Watts,0,0,0,OFF,Closed,Nb,0.38,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,162,391,422,ON,Open,Ta,0.14,160,Watts
30-Jan-25,11:33:05 AM,7,ON,30,0.00,3.1,ON,0.00,OFF,30.00,30.00,0.05,0.00,-0.01,0.00,20,0,0,0,OFF,Closed,100W MAX!,0.02,0,0,0,OFF,Closed,Al,0.11,0,0,0,OFF,Closed,Hf,0.03,0,0,0,0,OFF,Closed,Ti,0.26,0,Watts,0,0,0,OFF,Closed,Nb,0.38,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,162,391,422,ON,Open,Ta,0.14,160,Watts
30-Jan-25,11:33:07 AM,7,ON,30,0.00,3.1,ON,0.00,OFF,30.00,30.00,0.05,0.00,-0.01,0.00,20,0,0,0,OFF,Closed,100W MAX!,0.02,0,0,0,OFF,Closed,Al,0.11,0,0,0,OFF,Closed,Hf,0.03,0,0,0,0,OFF,Closed,Ti,0.26,0,Watts,0,0,0,OFF,Closed,Nb,0.38,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,162,388,425,ON,Open,Ta,0.14,160,Watts
30-Jan-25,11:33:09 AM,7,ON,30,0.00,3.1,ON,0.00,OFF,30.00,30.00,0.05,0.00,-0.01,0.00,20,0,0,0,OFF,Closed,100W MAX!,0.02,0,0,0,OFF,Closed,Al,0.11,0,0,0,OFF,Closed,Hf,0.03,0,0,0,0,OFF,Closed,Ti,0.26,0,Watts,0,0,0,OFF,Closed,Nb,0.38,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,162,388,425,ON,Open,Ta,0.14,160,Watts
30-Jan-25,11:33:11 AM,7,ON,30,0.00,2.8,ON,0.00,OFF,30.00,30.00,0.05,0.00,-0.01,0.00,20,0,0,0,OFF,Closed,100W MAX!,0.02,0,0,0,OFF,Closed,Al,0.11,0,0,0,OFF,Closed,Hf,0.03,0,0,0,0,OFF,Closed,Ti,0.26,0,Watts,0,0,0,OFF,Closed,Nb,0.38,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,162,388,425,ON,Open,Ta,0.14,160,Watts
30-Jan-25,11:33:14 AM,7,ON,30,0.00,2.8,ON,0.00,OFF,30.00,30.00,0.05,0.00,-0.01,0.00,20,0,0,0,OFF,Closed,100W MAX!,0.02,0,0,0,OFF,Closed,Al,0.11,0,0,0,OFF,Closed,Hf,0.03,0,0,0,0,OFF,Closed,Ti,0.26,0,Watts,0,0,0,OFF,Closed,Nb,0.38,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,162,388,425,ON,Open,Ta,0.14,160,Watts
30-Jan-25,11:33:16 AM,7,ON,30,0.00,3.0,ON,0.00,OFF,30.00,30.00,0.05,0.00,-0.01,0.00,20,0,0,0,OFF,Closed,100W MAX!,0.02,0,0,0,OFF,Closed,Al,0.11,0,0,0,OFF,Closed,Hf,0.03,0,0,0,0,OFF,Closed,Ti,0.26,0,Watts,0,0,0,OFF,Closed,Nb,0.38,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,162,389,425,ON,Open,Ta,0.14,160,Watts
30-Jan-25,11:33:18 AM,7,ON,30,0.00,3.0,ON,0.00,OFF,30.00,30.00,0.05,0.00,-0.01,0.00,20,0,0,0,OFF,Closed,100W MAX!,0.02,0,0,0,OFF,Closed,Al,0.11,0,0,0,OFF,Closed,Hf,0.03,0,0,0,0,OFF,Closed,Ti,0.26,0,Watts,0,0,0,OFF,Closed,Nb,0.38,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,162,389,425,ON,Open,Ta,0.14,160,Watts
30-Jan-25,11:33:20 AM,7,ON,30,0.00,2.9,ON,0.00,OFF,30.00,30.00,0.05,0.00,-0.01,0.00,21,0,0,0,OFF,Closed,100W MAX!,0.02,0,0,0,OFF,Closed,Al,0.11,0,0,0,OFF,Closed,Hf,0.03,0,0,0,0,OFF,Closed,Ti,0.26,0,Watts,0,0,0,OFF,Closed,Nb,0.38,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,162,389,425,ON,Open,Ta,0.14,160,Watts
30-Jan-25,11:33:22 AM,7,ON,30,0.00,2.9,ON,0.00,OFF,30.00,30.00,0.05,0.00,-0.01,0.00,21,0,0,0,OFF,Closed,100W MAX!,0.02,0,0,0,OFF,Closed,Al,0.11,0,0,0,OFF,Closed,Hf,0.03,0,0,0,0,OFF,Closed,Ti,0.26,0,Watts,0,0,0,OFF,Closed,Nb,0.38,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,162,395,416,ON,Open,Ta,0.14,160,Watts
30-Jan-25,11:33:24 AM,7,ON,30,0.00,2.9,ON,0.00,OFF,30.00,30.00,0.05,0.00,-0.01,0.00,20,0,0,0,OFF,Closed,100W MAX!,0.02,0,0,0,OFF,Closed,Al,0.11,0,0,0,OFF,Closed,Hf,0.03,0,0,0,0,OFF,Closed,Ti,0.26,0,Watts,0,0,0,OFF,Closed,Nb,0.38,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,162,395,416,ON,Open,Ta,0.14,160,Watts
30-Jan-25,11:33:26 AM,7,ON,30,0.00,2.9,ON,0.00,OFF,30.00,30.00,0.05,0.00,-0.01,0.00,20,0,0,0,OFF,Closed,100W MAX!,0.02,0,0,0,OFF,Closed,Al,0.11,0,0,0,OFF,Closed,Hf,0.03,0,0,0,0,OFF,Closed,Ti,0.26,0,Watts,0,0,0,OFF,Closed,Nb,0.38,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,162,389,423,ON,Open,Ta,0.14,160,Watts
30-Jan-25,11:33:28 AM,7,ON,30,0.00,2.9,ON,0.00,OFF,30.00,30.00,0.05,0.00,-0.01,0.00,20,0,0,0,OFF,Closed,100W MAX!,0.02,0,0,0,OFF,Closed,Al,0.11,0,0,0,OFF,Closed,Hf,0.03,0,0,0,0,OFF,Closed,Ti,0.26,0,Watts,0,0,0,OFF,Closed,Nb,0.38,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,162,389,423,ON,Open,Ta,0.14,160,Watts
30-Jan-25,11:33:30 AM,7,ON,30,0.00,2.8,ON,0.00,OFF,30.00,30.00,0.05,0.00,-0.01,0.00,20,0,0,0,OFF,Closed,100W MAX!,0.02,0,0,0,OFF,Closed,Al,0.11,0,0,0,OFF,Closed,Hf,0.03,0,0,0,0,OFF,Closed,Ti,0.26,0,Watts,0,0,0,OFF,Closed,Nb,0.38,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,162,390,421,ON,Open,Ta,0.14,160,Watts
30-Jan-25,11:33:32 AM,7,ON,30,0.00,2.8,ON,0.00,OFF,30.00,30.00,0.05,0.00,-0.01,0.00,20,0,0,0,OFF,Closed,100W MAX!,0.02,0,0,0,OFF,Closed,Al,0.11,0,0,0,OFF,Closed,Hf,0.03,0,0,0,0,OFF,Closed,Ti,0.26,0,Watts,0,0,0,OFF,Closed,Nb,0.38,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,162,390,421,ON,Open,Ta,0.14,160,Watts
30-Jan-25,11:33:34 AM,7,ON,30,0.00,2.9,ON,0.00,OFF,30.00,30.00,0.05,0.00,-0.01,0.00,21,0,0,0,OFF,Closed,100W MAX!,0.02,0,0,0,OFF,Closed,Al,0.11,0,0,0,OFF,Closed,Hf,0.03,0,0,0,0,OFF,Closed,Ti,0.26,0,Watts,0,0,0,OFF,Closed,Nb,0.38,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,162,390,421,ON,Open,Ta,0.14,160,Watts
30-Jan-25,11:33:36 AM,7,ON,30,0.00,2.9,ON,0.00,OFF,30.00,30.00,0.05,0.00,-0.01,0.00,21,0,0,0,OFF,Closed,100W MAX!,0.02,0,0,0,OFF,Closed,Al,0.11,0,0,0,OFF,Closed,Hf,0.03,0,0,0,0,OFF,Closed,Ti,0.26,0,Watts,0,0,0,OFF,Closed,Nb,0.38,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,162,388,425,ON,Open,Ta,0.14,160,Watts
30-Jan-25,11:33:38 AM,7,ON,30,0.00,3.1,ON,0.00,OFF,30.00,30.00,0.05,0.00,-0.01,0.00,20,0,0,0,OFF,Closed,100W MAX!,0.02,0,0,0,OFF,Closed,Al,0.11,0,0,0,OFF,Closed,Hf,0.03,0,0,0,0,OFF,Closed,Ti,0.26,0,Watts,0,0,0,OFF,Closed,Nb,0.38,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,162,388,425,ON,Open,Ta,0.14,160,Watts
30-Jan-25,11:33:41 AM,7,ON,30,0.00,3.1,ON,0.00,OFF,30.00,30.00,0.05,0.00,-0.01,0.00,20,0,0,0,OFF,Closed,100W MAX!,0.02,0,0,0,OFF,Closed,Al,0.11,0,0,0,OFF,Closed,Hf,0.03,0,0,0,0,OFF,Closed,Ti,0.26,0,Watts,0,0,0,OFF,Closed,Nb,0.38,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,162,392,420,ON,Open,Ta,0.14,160,Watts
30-Jan-25,11:33:43 AM,7,ON,30,0.00,3.1,ON,0.00,OFF,30.00,30.00,0.05,0.00,-0.01,0.00,20,0,0,0,OFF,Closed,100W MAX!,0.02,0,0,0,OFF,Closed,Al,0.11,0,0,0,OFF,Closed,Hf,0.03,0,0,0,0,OFF,Closed,Ti,0.26,0,Watts,0,0,0,OFF,Closed,Nb,0.38,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,162,392,420,ON,Open,Ta,0.14,160,Watts
30-Jan-25,11:33:45 AM,7,ON,30,0.00,3.0,ON,0.00,OFF,30.00,30.00,0.05,0.00,-0.01,0.00,20,0,0,0,OFF,Closed,100W MAX!,0.02,0,0,0,OFF,Closed,Al,0.11,0,0,0,OFF,Closed,Hf,0.03,0,0,0,0,OFF,Closed,Ti,0.26,0,Watts,0,0,0,OFF,Closed,Nb,0.38,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,162,391,421,ON,Open,Ta,0.14,160,Watts
30-Jan-25,11:33:47 AM,7,ON,30,0.00,3.0,ON,0.00,OFF,30.00,30.00,0.05,0.00,-0.01,0.00,20,0,0,0,OFF,Closed,100W MAX!,0.02,0,0,0,OFF,Closed,Al,0.11,0,0,0,OFF,Closed,Hf,0.03,0,0,0,0,OFF,Closed,Ti,0.26,0,Watts,0,0,0,OFF,Closed,Nb,0.38,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,162,391,421,ON,Open,Ta,0.14,160,Watts
30-Jan-25,11:33:49 AM,7,ON,30,0.00,2.9,ON,0.00,OFF,30.00,30.00,0.05,0.00,-0.01,0.00,20,0,0,0,OFF,Closed,100W MAX!,0.02,0,0,0,OFF,Closed,Al,0.11,0,0,0,OFF,Closed,Hf,0.03,0,0,0,0,OFF,Closed,Ti,0.26,0,Watts,0,0,0,OFF,Closed,Nb,0.38,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,162,389,423,ON,Open,Ta,0.14,160,Watts
30-Jan-25,11:33:51 AM,7,ON,30,0.00,2.9,ON,0.00,OFF,30.00,30.00,0.05,0.00,-0.01,0.00,20,0,0,0,OFF,Closed,100W MAX!,0.02,0,0,0,OFF,Closed,Al,0.11,0,0,0,OFF,Closed,Hf,0.03,0,0,0,0,OFF,Closed,Ti,0.26,0,Watts,0,0,0,OFF,Closed,Nb,0.38,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,162,389,423,ON,Open,Ta,0.14,160,Watts
30-Jan-25,11:33:53 AM,7,ON,30,0.00,2.8,ON,0.00,OFF,30.00,30.00,0.05,0.00,-0.01,0.00,20,0,0,0,OFF,Closed,100W MAX!,0.02,0,0,0,OFF,Closed,Al,0.11,0,0,0,OFF,Closed,Hf,0.03,0,0,0,0,OFF,Closed,Ti,0.26,0,Watts,0,0,0,OFF,Closed,Nb,0.38,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,162,393,421,ON,Open,Ta,0.14,160,Watts
30-Jan-25,11:33:55 AM,7,ON,30,0.00,2.8,ON,0.00,OFF,30.00,30.00,0.05,0.00,-0.01,0.00,20,0,0,0,OFF,Closed,100W MAX!,0.02,0,0,0,OFF,Closed,Al,0.11,0,0,0,OFF,Closed,Hf,0.03,0,0,0,0,OFF,Closed,Ti,0.26,0,Watts,0,0,0,OFF,Closed,Nb,0.38,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,162,393,421,ON,Open,Ta,0.14,160,Watts
30-Jan-25,11:33:57 AM,7,ON,30,0.00,2.8,ON,0.00,OFF,30.00,30.00,0.05,0.00,-0.01,0.00,21,0,0,0,OFF,Closed,100W MAX!,0.02,0,0,0,OFF,Closed,Al,0.11,0,0,0,OFF,Closed,Hf,0.03,0,0,0,0,OFF,Closed,Ti,0.26,0,Watts,0,0,0,OFF,Closed,Nb,0.38,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,162,393,421,ON,Open,Ta,0.14,160,Watts
30-Jan-25,11:33:59 AM,7,ON,30,0.00,2.8,ON,0.00,OFF,30.00,30.00,0.05,0.00,-0.01,0.00,21,0,0,0,OFF,Closed,100W MAX!,0.02,0,0,0,OFF,Closed,Al,0.11,0,0,0,OFF,Closed,Hf,0.03,0,0,0,0,OFF,Closed,Ti,0.26,0,Watts,0,0,0,OFF,Closed,Nb,0.38,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,162,390,422,ON,Open,Ta,0.14,160,Watts
30-Jan-25,11:34:02 AM,7,ON,30,0.00,2.8,ON,0.00,OFF,30.00,30.00,0.05,0.00,-0.01,0.00,21,0,0,0,OFF,Closed,100W MAX!,0.02,0,0,0,OFF,Closed,Al,0.11,0,0,0,OFF,Closed,Hf,0.03,0,0,0,0,OFF,Closed,Ti,0.26,0,Watts,0,0,0,OFF,Closed,Nb,0.38,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,162,390,422,ON,Open,Ta,0.14,160,Watts
30-Jan-25,11:34:04 AM,7,ON,30,0.00,3.1,ON,0.00,OFF,30.00,30.00,0.05,0.00,-0.01,0.00,21,0,0,0,OFF,Closed,100W MAX!,0.02,0,0,0,OFF,Closed,Al,0.11,0,0,0,OFF,Closed,Hf,0.03,0,0,0,0,OFF,Closed,Ti,0.26,0,Watts,0,0,0,OFF,Closed,Nb,0.38,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,162,387,425,ON,Open,Ta,0.14,160,Watts
30-Jan-25,11:34:06 AM,7,ON,30,0.00,3.1,ON,0.00,OFF,30.00,30.00,0.05,0.00,-0.01,0.00,21,0,0,0,OFF,Closed,100W MAX!,0.02,0,0,0,OFF,Closed,Al,0.11,0,0,0,OFF,Closed,Hf,0.03,0,0,0,0,OFF,Closed,Ti,0.26,0,Watts,0,0,0,OFF,Closed,Nb,0.38,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,162,387,425,ON,Open,Ta,0.14,160,Watts
30-Jan-25,11:34:08 AM,7,ON,30,0.00,3.1,ON,0.00,OFF,30.00,30.00,0.05,0.00,-0.01,0.00,20,0,0,0,OFF,Closed,100W MAX!,0.02,0,0,0,OFF,Closed,Al,0.11,0,0,0,OFF,Closed,Hf,0.03,0,0,0,0,OFF,Closed,Ti,0.26,0,Watts,0,0,0,OFF,Closed,Nb,0.38,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,162,390,422,ON,Open,Ta,0.14,160,Watts
30-Jan-25,11:34:10 AM,7,ON,30,0.00,3.1,ON,0.00,OFF,30.00,30.00,0.05,0.00,-0.01,0.00,20,0,0,0,OFF,Closed,100W MAX!,0.02,0,0,0,OFF,Closed,Al,0.11,0,0,0,OFF,Closed,Hf,0.03,0,0,0,0,OFF,Closed,Ti,0.26,0,Watts,0,0,0,OFF,Closed,Nb,0.38,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,162,390,422,ON,Open,Ta,0.14,160,Watts
30-Jan-25,11:34:12 AM,7,ON,30,0.00,2.8,ON,0.00,OFF,30.00,30.00,0.05,0.00,-0.01,0.00,21,0,0,0,OFF,Closed,100W MAX!,0.02,0,0,0,OFF,Closed,Al,0.11,0,0,0,OFF,Closed,Hf,0.03,0,0,0,0,OFF,Closed,Ti,0.26,0,Watts,0,0,0,OFF,Closed,Nb,0.38,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,162,389,424,ON,Open,Ta,0.14,160,Watts
30-Jan-25,11:34:14 AM,7,ON,30,0.00,2.8,ON,0.00,OFF,30.00,30.00,0.05,0.00,-0.01,0.00,21,0,0,0,OFF,Closed,100W MAX!,0.02,0,0,0,OFF,Closed,Al,0.11,0,0,0,OFF,Closed,Hf,0.03,0,0,0,0,OFF,Closed,Ti,0.26,0,Watts,0,0,0,OFF,Closed,Nb,0.38,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,162,389,424,ON,Open,Ta,0.14,160,Watts
30-Jan-25,11:34:16 AM,7,ON,30,0.00,3.0,ON,0.00,OFF,30.00,30.00,0.05,0.00,-0.01,0.00,21,0,0,0,OFF,Closed,100W MAX!,0.02,0,0,0,OFF,Closed,Al,0.11,0,0,0,OFF,Closed,Hf,0.03,0,0,0,0,OFF,Closed,Ti,0.26,0,Watts,0,0,0,OFF,Closed,Nb,0.38,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,162,389,424,ON,Open,Ta,0.14,160,Watts
30-Jan-25,11:34:18 AM,7,ON,30,0.00,3.0,ON,0.00,OFF,30.00,30.00,0.05,0.00,-0.01,0.00,21,0,0,0,OFF,Closed,100W MAX!,0.02,0,0,0,OFF,Closed,Al,0.11,0,0,0,OFF,Closed,Hf,0.03,0,0,0,0,OFF,Closed,Ti,0.26,0,Watts,0,0,0,OFF,Closed,Nb,0.38,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,162,389,424,ON,Open,Ta,0.14,160,Watts
30-Jan-25,11:34:20 AM,7,ON,30,0.00,3.0,ON,0.00,OFF,30.00,30.00,0.05,0.00,-0.01,0.00,21,0,0,0,OFF,Closed,100W MAX!,0.02,0,0,0,OFF,Closed,Al,0.11,0,0,0,OFF,Closed,Hf,0.03,0,0,0,0,OFF,Closed,Ti,0.26,0,Watts,0,0,0,OFF,Closed,Nb,0.38,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,162,389,424,ON,Open,Ta,0.14,160,Watts
30-Jan-25,11:34:23 AM,7,ON,30,0.00,2.9,ON,0.00,OFF,30.00,30.00,0.05,0.00,-0.01,0.00,21,0,0,0,OFF,Closed,100W MAX!,0.02,0,0,0,OFF,Closed,Al,0.11,0,0,0,OFF,Closed,Hf,0.03,0,0,0,0,OFF,Closed,Ti,0.26,0,Watts,0,0,0,OFF,Closed,Nb,0.38,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,162,393,419,ON,Open,Ta,0.14,160,Watts
30-Jan-25,11:34:25 AM,7,ON,30,0.00,2.9,ON,0.00,OFF,30.00,30.00,0.05,0.00,-0.01,0.00,21,0,0,0,OFF,Closed,100W MAX!,0.02,0,0,0,OFF,Closed,Al,0.11,0,0,0,OFF,Closed,Hf,0.03,0,0,0,0,OFF,Closed,Ti,0.26,0,Watts,0,0,0,OFF,Closed,Nb,0.38,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,162,393,419,ON,Open,Ta,0.14,160,Watts
30-Jan-25,11:34:27 AM,7,ON,30,0.00,2.9,ON,0.00,OFF,30.00,30.00,0.05,0.00,-0.01,0.00,21,0,0,0,OFF,Closed,100W MAX!,0.02,0,0,0,OFF,Closed,Al,0.11,0,0,0,OFF,Closed,Hf,0.03,0,0,0,0,OFF,Closed,Ti,0.26,0,Watts,0,0,0,OFF,Closed,Nb,0.38,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,162,387,425,ON,Open,Ta,0.14,160,Watts
