password3,
Date,Time,Layer #,Sub. Rot.,Sub. Rot. Speed,Sub. Z Height,C.M. Press.,VAT Press Mode,VAT Pos STPT,VAT Pos Mode,Gas#1 Flow,Gas#1 STPT,Gas#2 Flow,Gas#2 STPT,Gas#3 Flow,Gas#3 STPT,Sub. Temp.,Sub. Temp. STPT,RF#1 W Fbdk,RF#1 DC Bias,RF#1 Plasma,RF#1 Shutter,RF#1 TGT,RF#1 KWH,RF#1 STPT,RF#2 W Fbdk,RF#2 DC Bias,RF#2 Plasma,RF#2 Shutter,RF#2 TGT,RF#2 KWH,RF#2 STPT,RF#3 W Fbdk,RF#3 DC Bias,RF#3 Plasma,RF#3 Shutter,RF#3 TGT,RF#3 KWH,RF#3 STPT,DC#1 W Fdbk,DC#1 V Fdbk,DC#1 mA Fdbk,DC#1 Plasma,DC#1 Shutter,DC#1 TGT,DC#1 KWH,DC#1 STPT,DC#1 MODE,DC#2 W Fdbk,DC#2 V Fdbk,DC#2 mA Fdbk,DC#2 Plasma,DC#2 Shutter,DC#2 TGT,DC#2 KWH,DC#2 STPT,DC#2 MODE,DC#3 W Fdbk,DC#3 V Fdbk,DC#3 mA Fdbk,DC#3 Plasma,DC#3 Shutter,DC#3 TGT,DC#3 KWH,DC#3 STPT,DC#3 MODE,DC SWITCH POS,DC#5 W Fdbk,DC#5 V Fdbk,DC#5 mA Fdbk,DC#5 Plasma,DC#5 Shutter,DC#5 TGT,DC#5 KWH,DC#5 STPT,DC#5 MODE
15-Jul-25,5:49:35 PM,3,ON,30,0.42,-0.1,OFF,1000.00,OFF,-0.35,0.00,0.05,0.00,-0.01,0.00,698,700,0,0,OFF,Closed,100W MAX!,0.07,0,0,0,OFF,Closed,Al,0.03,0,0,0,OFF,Closed,Hf,0.00,0,0,0,0,OFF,Closed,Ti,0.31,0,Watts,0,0,0,OFF,Closed,Nb,1.15,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,0,0,0,OFF,Closed,Ta,0.84,0,Watts
15-Jul-25,5:49:40 PM,3,ON,30,0.42,-0.1,OFF,1000.00,OFF,-0.35,0.00,0.05,0.00,-0.01,0.00,699,700,0,0,OFF,Closed,100W MAX!,0.07,0,0,0,OFF,Closed,Al,0.03,0,0,0,OFF,Closed,Hf,0.00,0,0,0,0,OFF,Closed,Ti,0.31,0,Watts,0,0,0,OFF,Closed,Nb,1.15,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,0,0,0,OFF,Closed,Ta,0.84,0,Watts
15-Jul-25,5:49:45 PM,3,ON,30,0.42,-0.1,OFF,1000.00,OFF,-0.35,0.00,0.05,0.00,-0.00,0.00,699,700,0,0,OFF,Closed,100W MAX!,0.07,0,0,0,OFF,Closed,Al,0.03,0,0,0,OFF,Closed,Hf,0.00,0,0,0,0,OFF,Closed,Ti,0.31,0,Watts,0,0,0,OFF,Closed,Nb,1.15,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,0,0,0,OFF,Closed,Ta,0.84,0,Watts
15-Jul-25,5:49:50 PM,4,ON,30,0.42,-0.0,OFF,1000.00,OFF,-0.35,0.00,0.05,0.00,-0.01,0.00,699,600,0,0,OFF,Closed,100W MAX!,0.07,0,0,0,OFF,Closed,Al,0.03,0,0,0,OFF,Closed,Hf,0.00,0,0,0,0,OFF,Closed,Ti,0.31,0,Watts,0,0,0,OFF,Closed,Nb,1.15,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,0,0,0,OFF,Closed,Ta,0.84,0,Watts
15-Jul-25,5:49:55 PM,4,ON,30,,-0.1,OFF,1000.00,OFF,-0.35,0.00,0.05,0.00,-0.00,0.00,697,600,0,0,OFF,Closed,100W MAX!,0.07,0,0,0,OFF,Closed,Al,0.03,0,0,0,OFF,Closed,Hf,0.00,0,0,0,0,OFF,Closed,Ti,0.31,0,Watts,0,0,0,OFF,Closed,Nb,1.15,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,0,0,0,OFF,Closed,Ta,0.84,0,Watts
15-Jul-25,5:50:00 PM,4,ON,30,0.42,-0.1,OFF,1000.00,OFF,-0.35,0.00,0.05,0.00,-0.01,0.00,694,600,0,0,OFF,Closed,100W MAX!,0.07,0,0,0,OFF,Closed,Al,0.03,0,0,0,OFF,Closed,Hf,0.00,0,0,0,0,OFF,Closed,Ti,0.31,0,Watts,0,0,0,OFF,Closed,Nb,1.15,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,0,0,0,OFF,Closed,Ta,0.84,0,Watts
15-Jul-25,5:50:05 PM,4,ON,30,0.42,-0.0,OFF,1000.00,OFF,-0.35,0.00,0.05,0.00,-0.01,0.00,692,600,0,0,OFF,Closed,100W MAX!,0.07,0,0,0,OFF,Closed,Al,0.03,0,0,0,OFF,Closed,Hf,0.00,0,0,0,0,OFF,Closed,Ti,0.31,0,Watts,0,0,0,OFF,Closed,Nb,1.15,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,0,0,0,OFF,Closed,Ta,0.84,0,Watts
15-Jul-25,5:50:10 PM,4,ON,30,0.42,-0.1,OFF,1000.00,OFF,-0.35,0.00,0.05,0.00,-0.01,0.00,689,600,0,0,OFF,Closed,100W MAX!,0.07,0,0,0,OFF,Closed,Al,0.03,0,0,0,OFF,Closed,Hf,0.00,0,0,0,0,OFF,Closed,Ti,0.31,0,Watts,0,0,0,OFF,Closed,Nb,1.15,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,0,0,0,OFF,Closed,Ta,0.84,0,Watts
15-Jul-25,5:50:15 PM,4,ON,30,0.42,-0.1,OFF,1000.00,OFF,-0.35,0.00,0.05,0.00,-0.01,0.00,687,600,0,0,OFF,Closed,100W MAX!,0.07,0,0,0,OFF,Closed,Al,0.03,0,0,0,OFF,Closed,Hf,0.00,0,0,0,0,OFF,Closed,Ti,0.31,0,Watts,0,0,0,OFF,Closed,Nb,1.15,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,0,0,0,OFF,Closed,Ta,0.84,0,Watts
15-Jul-25,5:50:20 PM,4,ON,30,0.42,-0.1,OFF,1000.00,OFF,-0.35,0.00,0.05,0.00,-0.01,0.00,684,600,0,0,OFF,Closed,100W MAX!,0.07,0,0,0,OFF,Closed,Al,0.03,0,0,0,OFF,Closed,Hf,0.00,0,0,0,0,OFF,Closed,Ti,0.31,0,Watts,0,0,0,OFF,Closed,Nb,1.15,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,0,0,0,OFF,Closed,Ta,0.84,0,Watts
15-Jul-25,5:50:25 PM,4,ON,30,0.42,-0.1,OFF,1000.00,OFF,-0.35,0.00,0.05,0.00,-0.01,0.00,682,600,0,0,OFF,Closed,100W MAX!,0.07,0,0,0,OFF,Closed,Al,0.03,0,0,0,OFF,Closed,Hf,0.00,0,0,0,0,OFF,Closed,Ti,0.31,0,Watts,0,0,0,OFF,Closed,Nb,1.15,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,0,0,0,OFF,Closed,Ta,0.84,0,Watts
15-Jul-25,5:50:30 PM,4,ON,30,0.42,-0.0,OFF,1000.00,OFF,-0.35,0.00,0.05,0.00,-0.00,0.00,679,600,0,0,OFF,Closed,100W MAX!,0.07,0,0,0,OFF,Closed,Al,0.03,0,0,0,OFF,Closed,Hf,0.00,0,0,0,0,OFF,Closed,Ti,0.31,0,Watts,0,0,0,OFF,Closed,Nb,1.15,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,0,0,0,OFF,Closed,Ta,0.84,0,Watts
15-Jul-25,5:50:35 PM,4,ON,30,0.42,-0.1,OFF,1000.00,OFF,-0.34,0.00,0.05,0.00,-0.01,0.00,675,600,0,0,OFF,Closed,100W MAX!,0.07,0,0,0,OFF,Closed,Al,0.03,0,0,0,OFF,Closed,Hf,0.00,0,0,0,0,OFF,Closed,Ti,0.31,0,Watts,0,0,0,OFF,Closed,Nb,1.15,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,0,0,0,OFF,Closed,Ta,0.84,0,Watts
15-Jul-25,5:50:40 PM,4,ON,30,0.42,-0.1,OFF,1000.00,OFF,-0.35,0.00,0.05,0.00,-0.01,0.00,673,600,0,0,OFF,Closed,100W MAX!,0.07,0,0,0,OFF,Closed,Al,0.03,0,0,0,OFF,Closed,Hf,0.00,0,0,0,0,OFF,Closed,Ti,0.31,0,Watts,0,0,0,OFF,Closed,Nb,1.15,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,0,0,0,OFF,Closed,Ta,0.84,0,Watts
15-Jul-25,5:50:45 PM,4,ON,30,0.42,-0.0,OFF,1000.00,OFF,-0.35,0.00,0.05,0.00,-0.00,0.00,670,600,0,0,OFF,Closed,100W MAX!,0.07,0,0,0,OFF,Closed,Al,0.03,0,0,0,OFF,Closed,Hf,0.00,0,0,0,0,OFF,Closed,Ti,0.31,0,Watts,0,0,0,OFF,Closed,Nb,1.15,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,0,0,0,OFF,Closed,Ta,0.84,0,Watts
15-Jul-25,5:50:50 PM,4,ON,30,0.42,-0.1,OFF,1000.00,OFF,-0.35,0.00,0.05,0.00,-0.00,0.00,670,600,0,0,OFF,Closed,100W MAX!,0.07,0,0,0,OFF,Closed,Al,0.03,0,0,0,OFF,Closed,Hf,0.00,0,0,0,0,OFF,Closed,Ti,0.31,0,Watts,0,0,0,OFF,Closed,Nb,1.15,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,0,0,0,OFF,Closed,Ta,0.84,0,Watts
15-Jul-25,5:50:55 PM,4,ON,30,0.42,-0.1,OFF,1000.00,OFF,-0.35,0.00,0.05,0.00,-0.00,0.00,667,600,0,0,OFF,Closed,100W MAX!,0.07,0,0,0,OFF,Closed,Al,0.03,0,0,0,OFF,Closed,Hf,0.00,0,0,0,0,OFF,Closed,Ti,0.31,0,Watts,0,0,0,OFF,Closed,Nb,1.15,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,0,0,0,OFF,Closed,Ta,0.84,0,Watts
15-Jul-25,5:51:00 PM,4,ON,30,0.42,-0.1,OFF,1000.00,OFF,-0.35,0.00,0.05,0.00,-0.01,0.00,664,600,0,0,OFF,Closed,100W MAX!,0.07,0,0,0,OFF,Closed,Al,0.03,0,0,0,OFF,Closed,Hf,0.00,0,0,0,0,OFF,Closed,Ti,0.31,0,Watts,0,0,0,OFF,Closed,Nb,1.15,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,0,0,0,OFF,Closed,Ta,0.84,0,Watts
15-Jul-25,5:51:05 PM,4,ON,30,0.42,-0.1,OFF,1000.00,OFF,-0.35,0.00,0.05,0.00,-0.00,0.00,662,600,0,0,OFF,Closed,100W MAX!,0.07,0,0,0,OFF,Closed,Al,0.03,0,0,0,OFF,Closed,Hf,0.00,0,0,0,0,OFF,Closed,Ti,0.31,0,Watts,0,0,0,OFF,Closed,Nb,1.15,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,0,0,0,OFF,Closed,Ta,0.84,0,Watts
15-Jul-25,5:51:10 PM,4,ON,30,0.42,-0.1,OFF,1000.00,OFF,-0.35,0.00,0.05,0.00,-0.01,0.00,660,600,0,0,OFF,Closed,100W MAX!,0.07,0,0,0,OFF,Closed,Al,0.03,0,0,0,OFF,Closed,Hf,0.00,0,0,0,0,OFF,Closed,Ti,0.31,0,Watts,0,0,0,OFF,Closed,Nb,1.15,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,0,0,0,OFF,Closed,Ta,0.84,0,Watts
15-Jul-25,5:51:15 PM,4,ON,30,0.42,-0.1,OFF,1000.00,OFF,-0.34,0.00,0.05,0.00,-0.00,0.00,655,600,0,0,OFF,Closed,100W MAX!,0.07,0,0,0,OFF,Closed,Al,0.03,0,0,0,OFF,Closed,Hf,0.00,0,0,0,0,OFF,Closed,Ti,0.31,0,Watts,0,0,0,OFF,Closed,Nb,1.15,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,0,0,0,OFF,Closed,Ta,0.84,0,Watts
15-Jul-25,5:51:20 PM,4,ON,30,0.42,-0.1,OFF,1000.00,OFF,-0.35,0.00,0.05,0.00,-0.01,0.00,653,600,0,0,OFF,Closed,100W MAX!,0.07,0,0,0,OFF,Closed,Al,0.03,0,0,0,OFF,Closed,Hf,0.00,0,0,0,0,OFF,Closed,Ti,0.31,0,Watts,0,0,0,OFF,Closed,Nb,1.15,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,0,0,0,OFF,Closed,Ta,0.84,0,Watts
15-Jul-25,5:51:25 PM,4,ON,30,0.42,-0.1,OFF,1000.00,OFF,-0.35,0.00,0.05,0.00,-0.00,0.00,651,600,0,0,OFF,Closed,100W MAX!,0.07,0,0,0,OFF,Closed,Al,0.03,0,0,0,OFF,Closed,Hf,0.00,0,0,0,0,OFF,Closed,Ti,0.31,0,Watts,0,0,0,OFF,Closed,Nb,1.15,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,0,0,0,OFF,Closed,Ta,0.84,0,Watts
15-Jul-25,5:51:30 PM,4,ON,30,0.42,-0.1,OFF,1000.00,OFF,-0.35,0.00,0.05,0.00,-0.00,0.00,649,600,0,0,OFF,Closed,100W MAX!,0.07,0,0,0,OFF,Closed,Al,0.03,0,0,0,OFF,Closed,Hf,0.00,0,0,0,0,OFF,Closed,Ti,0.31,0,Watts,0,0,0,OFF,Closed,Nb,1.15,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,0,0,0,OFF,Closed,Ta,0.84,0,Watts
15-Jul-25,5:51:35 PM,4,ON,30,0.42,-0.1,OFF,1000.00,OFF,-0.35,0.00,0.05,0.00,-0.00,0.00,646,600,0,0,OFF,Closed,100W MAX!,0.07,0,0,0,OFF,Closed,Al,0.03,0,0,0,OFF,Closed,Hf,0.00,0,0,0,0,OFF,Closed,Ti,0.31,0,Watts,0,0,0,OFF,Closed,Nb,1.15,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,0,0,0,OFF,Closed,Ta,0.84,0,Watts
15-Jul-25,5:51:40 PM,4,ON,30,0.42,-0.1,OFF,1000.00,OFF,-0.35,0.00,0.05,0.00,-0.01,0.00,647,600,0,0,OFF,Closed,100W MAX!,0.07,0,0,0,OFF,Closed,Al,0.03,0,0,0,OFF,Closed,Hf,0.00,0,0,0,0,OFF,Closed,Ti,0.31,0,Watts,0,0,0,OFF,Closed,Nb,1.15,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,0,0,0,OFF,Closed,Ta,0.84,0,Watts
15-Jul-25,5:51:45 PM,4,ON,30,0.42,-0.0,OFF,1000.00,OFF,-0.35,0.00,0.05,0.00,-0.01,0.00,643,600,0,0,OFF,Closed,100W MAX!,0.07,0,0,0,OFF,Closed,Al,0.03,0,0,0,OFF,Closed,Hf,0.00,0,0,0,0,OFF,Closed,Ti,0.31,0,Watts,0,0,0,OFF,Closed,Nb,1.15,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,0,0,0,OFF,Closed,Ta,0.84,0,Watts
15-Jul-25,5:51:50 PM,4,ON,30,0.42,-0.1,OFF,1000.00,OFF,-0.35,0.00,0.05,0.00,-0.00,0.00,640,600,0,0,OFF,Closed,100W MAX!,0.07,0,0,0,OFF,Closed,Al,0.03,0,0,0,OFF,Closed,Hf,0.00,0,0,0,0,OFF,Closed,Ti,0.31,0,Watts,0,0,0,OFF,Closed,Nb,1.15,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,0,0,0,OFF,Closed,Ta,0.84,0,Watts
15-Jul-25,5:51:55 PM,4,ON,30,0.42,-0.0,OFF,1000.00,OFF,-0.35,0.00,0.05,0.00,-0.00,0.00,638,600,0,0,OFF,Closed,100W MAX!,0.07,0,0,0,OFF,Closed,Al,0.03,0,0,0,OFF,Closed,Hf,0.00,0,0,0,0,OFF,Closed,Ti,0.31,0,Watts,0,0,0,OFF,Closed,Nb,1.15,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,0,0,0,OFF,Closed,Ta,0.84,0,Watts
15-Jul-25,5:52:00 PM,4,ON,30,0.42,-0.0,OFF,1000.00,OFF,-0.35,0.00,0.05,0.00,-0.01,0.00,633,600,0,0,OFF,Closed,100W MAX!,0.07,0,0,0,OFF,Closed,Al,0.03,0,0,0,OFF,Closed,Hf,0.00,0,0,0,0,OFF,Closed,Ti,0.31,0,Watts,0,0,0,OFF,Closed,Nb,1.15,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,0,0,0,OFF,Closed,Ta,0.84,0,Watts
15-Jul-25,5:52:05 PM,4,ON,30,0.42,-0.1,OFF,1000.00,OFF,-0.35,0.00,0.05,0.00,-0.00,0.00,631,600,0,0,OFF,Closed,100W MAX!,0.07,0,0,0,OFF,Closed,Al,0.03,0,0,0,OFF,Closed,Hf,0.00,0,0,0,0,OFF,Closed,Ti,0.31,0,Watts,0,0,0,OFF,Closed,Nb,1.15,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,0,0,0,OFF,Closed,Ta,0.84,0,Watts
15-Jul-25,5:52:10 PM,4,ON,30,0.42,-0.1,OFF,1000.00,OFF,-0.35,0.00,0.05,0.00,-0.00,0.00,628,600,0,0,OFF,Closed,100W MAX!,0.07,0,0,0,OFF,Closed,Al,0.03,0,0,0,OFF,Closed,Hf,0.00,0,0,0,0,OFF,Closed,Ti,0.31,0,Watts,0,0,0,OFF,Closed,Nb,1.15,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,0,0,0,OFF,Closed,Ta,0.84,0,Watts
15-Jul-25,5:52:15 PM,4,ON,30,0.42,-0.0,OFF,1000.00,OFF,-0.35,0.00,0.05,0.00,-0.01,0.00,626,600,0,0,OFF,Closed,100W MAX!,0.07,0,0,0,OFF,Closed,Al,0.03,0,0,0,OFF,Closed,Hf,0.00,0,0,0,0,OFF,Closed,Ti,0.31,0,Watts,0,0,0,OFF,Closed,Nb,1.15,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,0,0,0,OFF,Closed,Ta,0.84,0,Watts
15-Jul-25,5:52:20 PM,4,ON,30,0.42,-0.1,OFF,1000.00,OFF,-0.35,0.00,0.05,0.00,-0.00,0.00,624,600,0,0,OFF,Closed,100W MAX!,0.07,0,0,0,OFF,Closed,Al,0.03,0,0,0,OFF,Closed,Hf,0.00,0,0,0,0,OFF,Closed,Ti,0.31,0,Watts,0,0,0,OFF,Closed,Nb,1.15,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,0,0,0,OFF,Closed,Ta,0.84,0,Watts
15-Jul-25,5:52:25 PM,4,ON,30,0.42,-0.1,OFF,1000.00,OFF,-0.35,0.00,0.05,0.00,-0.00,0.00,623,600,0,0,OFF,Closed,100W MAX!,0.07,0,0,0,OFF,Closed,Al,0.03,0,0,0,OFF,Closed,Hf,0.00,0,0,0,0,OFF,Closed,Ti,0.31,0,Watts,0,0,0,OFF,Closed,Nb,1.15,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,0,0,0,OFF,Closed,Ta,0.84,0,Watts
15-Jul-25,5:52:30 PM,4,ON,30,0.42,-0.1,OFF,1000.00,OFF,-0.35,0.00,0.05,0.00,-0.01,0.00,620,600,0,0,OFF,Closed,100W MAX!,0.07,0,0,0,OFF,Closed,Al,0.03,0,0,0,OFF,Closed,Hf,0.00,0,0,0,0,OFF,Closed,Ti,0.31,0,Watts,0,0,0,OFF,Closed,Nb,1.15,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,0,0,0,OFF,Closed,Ta,0.84,0,Watts
15-Jul-25,5:52:35 PM,4,ON,30,0.42,-0.1,OFF,1000.00,OFF,-0.35,0.00,0.05,0.00,-0.01,0.00,617,600,0,0,OFF,Closed,100W MAX!,0.07,0,0,0,OFF,Closed,Al,0.03,0,0,0,OFF,Closed,Hf,0.00,0,0,0,0,OFF,Closed,Ti,0.31,0,Watts,0,0,0,OFF,Closed,Nb,1.15,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,0,0,0,OFF,Closed,Ta,0.84,0,Watts
15-Jul-25,5:52:40 PM,4,ON,30,0.42,-0.1,OFF,1000.00,OFF,-0.35,0.00,0.05,0.00,-0.00,0.00,615,600,0,0,OFF,Closed,100W MAX!,0.07,0,0,0,OFF,Closed,Al,0.03,0,0,0,OFF,Closed,Hf,0.00,0,0,0,0,OFF,Closed,Ti,0.31,0,Watts,0,0,0,OFF,Closed,Nb,1.15,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,0,0,0,OFF,Closed,Ta,0.84,0,Watts
15-Jul-25,5:52:45 PM,4,ON,30,0.42,-0.0,OFF,1000.00,OFF,-0.35,0.00,0.05,0.00,-0.01,0.00,611,600,0,0,OFF,Closed,100W MAX!,0.07,0,0,0,OFF,Closed,Al,0.03,0,0,0,OFF,Closed,Hf,0.00,0,0,0,0,OFF,Closed,Ti,0.31,0,Watts,0,0,0,OFF,Closed,Nb,1.15,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,0,0,0,OFF,Closed,Ta,0.84,0,Watts
15-Jul-25,5:52:50 PM,4,ON,30,0.42,-0.1,OFF,1000.00,OFF,-0.35,0.00,0.05,0.00,-0.00,0.00,608,600,0,0,OFF,Closed,100W MAX!,0.07,0,0,0,OFF,Closed,Al,0.03,0,0,0,OFF,Closed,Hf,0.00,0,0,0,0,OFF,Closed,Ti,0.31,0,Watts,0,0,0,OFF,Closed,Nb,1.15,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,0,0,0,OFF,Closed,Ta,0.84,0,Watts
15-Jul-25,5:52:55 PM,4,ON,30,0.42,-0.1,OFF,1000.00,OFF,-0.35,0.00,0.05,0.00,-0.01,0.00,606,600,0,0,OFF,Closed,100W MAX!,0.07,0,0,0,OFF,Closed,Al,0.03,0,0,0,OFF,Closed,Hf,0.00,0,0,0,0,OFF,Closed,Ti,0.31,0,Watts,0,0,0,OFF,Closed,Nb,1.15,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,0,0,0,OFF,Closed,Ta,0.84,0,Watts
15-Jul-25,5:53:00 PM,4,ON,30,0.42,-0.1,OFF,1000.00,OFF,-0.35,0.00,0.05,0.00,-0.01,0.00,604,600,0,0,OFF,Closed,100W MAX!,0.07,0,0,0,OFF,Closed,Al,0.03,0,0,0,OFF,Closed,Hf,0.00,0,0,0,0,OFF,Closed,Ti,0.31,0,Watts,0,0,0,OFF,Closed,Nb,1.15,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,0,0,0,OFF,Closed,Ta,0.84,0,Watts
15-Jul-25,5:53:05 PM,4,ON,30,0.42,-0.1,OFF,1000.00,OFF,-0.35,0.00,0.05,0.00,-0.00,0.00,603,600,0,0,OFF,Closed,100W MAX!,0.07,0,0,0,OFF,Closed,Al,0.03,0,0,0,OFF,Closed,Hf,0.00,0,0,0,0,OFF,Closed,Ti,0.31,0,Watts,0,0,0,OFF,Closed,Nb,1.15,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,0,0,0,OFF,Closed,Ta,0.84,0,Watts
15-Jul-25,5:53:10 PM,4,ON,30,0.42,-0.1,OFF,1000.00,OFF,-0.35,0.00,0.05,0.00,-0.01,0.00,599,600,0,0,OFF,Closed,100W MAX!,0.07,0,0,0,OFF,Closed,Al,0.03,0,0,0,OFF,Closed,Hf,0.00,0,0,0,0,OFF,Closed,Ti,0.31,0,Watts,0,0,0,OFF,Closed,Nb,1.15,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,0,0,0,OFF,Closed,Ta,0.84,0,Watts
15-Jul-25,5:53:15 PM,4,ON,30,0.42,-0.0,OFF,1000.00,OFF,-0.35,0.00,0.05,0.00,-0.01,0.00,599,600,0,0,OFF,Closed,100W MAX!,0.07,0,0,0,OFF,Closed,Al,0.03,0,0,0,OFF,Closed,Hf,0.00,0,0,0,0,OFF,Closed,Ti,0.31,0,Watts,0,0,0,OFF,Closed,Nb,1.15,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,0,0,0,OFF,Closed,Ta,0.84,0,Watts
15-Jul-25,5:53:20 PM,4,ON,30,0.42,-0.1,OFF,1000.00,OFF,-0.35,0.00,0.05,0.00,-0.00,0.00,598,600,0,0,OFF,Closed,100W MAX!,0.07,0,0,0,OFF,Closed,Al,0.03,0,0,0,OFF,Closed,Hf,0.00,0,0,0,0,OFF,Closed,Ti,0.31,0,Watts,0,0,0,OFF,Closed,Nb,1.15,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,0,0,0,OFF,Closed,Ta,0.84,0,Watts
15-Jul-25,5:53:25 PM,4,ON,30,0.42,-0.0,OFF,1000.00,OFF,-0.35,0.00,0.05,0.00,-0.00,0.00,598,600,0,0,OFF,Closed,100W MAX!,0.07,0,0,0,OFF,Closed,Al,0.03,0,0,0,OFF,Closed,Hf,0.00,0,0,0,0,OFF,Closed,Ti,0.31,0,Watts,0,0,0,OFF,Closed,Nb,1.15,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,0,0,0,OFF,Closed,Ta,0.84,0,Watts
15-Jul-25,5:53:30 PM,4,ON,30,0.42,-0.1,OFF,1000.00,OFF,-0.35,0.00,0.05,0.00,-0.01,0.00,599,600,0,0,OFF,Closed,100W MAX!,0.07,0,0,0,OFF,Closed,Al,0.03,0,0,0,OFF,Closed,Hf,0.00,0,0,0,0,OFF,Closed,Ti,0.31,0,Watts,0,0,0,OFF,Closed,Nb,1.15,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,0,0,0,OFF,Closed,Ta,0.84,0,Watts
15-Jul-25,5:53:35 PM,4,ON,30,0.42,-0.1,OFF,1000.00,OFF,-0.35,0.00,0.05,0.00,-0.01,0.00,599,600,0,0,OFF,Closed,100W MAX!,0.07,0,0,0,OFF,Closed,Al,0.03,0,0,0,OFF,Closed,Hf,0.00,0,0,0,0,OFF,Closed,Ti,0.31,0,Watts,0,0,0,OFF,Closed,Nb,1.15,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,0,0,0,OFF,Closed,Ta,0.84,0,Watts
15-Jul-25,5:53:40 PM,4,ON,30,0.42,-0.0,OFF,1000.00,OFF,-0.35,0.00,0.05,0.00,-0.01,0.00,600,600,0,0,OFF,Closed,100W MAX!,0.07,0,0,0,OFF,Closed,Al,0.03,0,0,0,OFF,Closed,Hf,0.00,0,0,0,0,OFF,Closed,Ti,0.31,0,Watts,0,0,0,OFF,Closed,Nb,1.15,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,0,0,0,OFF,Closed,Ta,0.84,0,Watts
15-Jul-25,5:53:45 PM,4,ON,30,0.42,-0.1,OFF,1000.00,OFF,-0.35,0.00,0.05,0.00,-0.01,0.00,599,600,0,0,OFF,Closed,100W MAX!,0.07,0,0,0,OFF,Closed,Al,0.03,0,0,0,OFF,Closed,Hf,0.00,0,0,0,0,OFF,Closed,Ti,0.31,0,Watts,0,0,0,OFF,Closed,Nb,1.15,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,0,0,0,OFF,Closed,Ta,0.84,0,Watts
