password3,
Date,Time,Layer #,Sub. Rot.,Sub. Rot. Speed,Sub. Z Height,C.M. Press.,VAT Press Mode,VAT Pos STPT,VAT Pos Mode,Gas#1 Flow,Gas#1 STPT,Gas#2 Flow,Gas#2 STPT,Gas#3 Flow,Gas#3 STPT,Sub. Temp.,Sub. Temp. STPT,RF#1 W Fbdk,RF#1 DC Bias,RF#1 Plasma,RF#1 Shutter,RF#1 TGT,RF#1 KWH,RF#1 STPT,RF#2 W Fbdk,RF#2 DC Bias,RF#2 Plasma,RF#2 Shutter,RF#2 TGT,RF#2 KWH,RF#2 STPT,RF#3 W Fbdk,RF#3 DC Bias,RF#3 Plasma,RF#3 Shutter,RF#3 TGT,RF#3 KWH,RF#3 STPT,DC#1 W Fdbk,DC#1 V Fdbk,DC#1 mA Fdbk,DC#1 Plasma,DC#1 Shutter,DC#1 TGT,DC#1 KWH,DC#1 STPT,DC#1 MODE,DC#2 W Fdbk,DC#2 V Fdbk,DC#2 mA Fdbk,DC#2 Plasma,DC#2 Shutter,DC#2 TGT,DC#2 KWH,DC#2 STPT,DC#2 MODE,DC#3 W Fdbk,DC#3 V Fdbk,DC#3 mA Fdbk,DC#3 Plasma,DC#3 Shutter,DC#3 TGT,DC#3 KWH,DC#3 STPT,DC#3 MODE,DC SWITCH POS,DC#5 W Fdbk,DC#5 V Fdbk,DC#5 mA Fdbk,DC#5 Plasma,DC#5 Shutter,DC#5 TGT,DC#5 KWH,DC#5 STPT,DC#5 MODE
31-Jan-25,3:40:24 PM,7,ON,30,0.00,3.0,OFF,475.00,OFF,30.00,30.00,0.05,0.00,-0.01,0.00,21,0,0,0,OFF,Closed,100W MAX!,0.02,0,0,0,OFF,Closed,Al,0.11,0,0,0,OFF,Closed,Hf,0.03,0,0,0,0,OFF,Closed,Ti,0.26,0,Watts,320,389,829,ON,Open,Nb,0.42,320,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,0,0,0,OFF,Closed,Ta,0.14,0,Watts
31-Jan-25,3:40:26 PM,7,ON,30,0.00,3.0,OFF,475.00,OFF,30.00,30.00,0.05,0.00,-0.01,0.00,21,0,0,0,OFF,Closed,100W MAX!,0.02,0,0,0,OFF,Closed,Al,0.11,0,0,0,OFF,Closed,Hf,0.03,0,0,0,0,OFF,Closed,Ti,0.26,0,Watts,320,389,829,ON,Open,Nb,0.42,320,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,0,0,0,OFF,Closed,Ta,0.14,0,Watts
31-Jan-25,3:40:28 PM,7,ON,30,0.00,3.0,OFF,475.00,OFF,30.00,30.00,0.05,0.00,-0.01,0.00,21,0,0,0,OFF,Closed,100W MAX!,0.02,0,0,0,OFF,Closed,Al,0.11,0,0,0,OFF,Closed,Hf,0.03,0,0,0,0,OFF,Closed,Ti,0.26,0,Watts,320,389,830,ON,Open,Nb,0.42,320,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,0,0,0,OFF,Closed,Ta,0.14,0,Watts
31-Jan-25,3:40:30 PM,7,ON,30,0.00,3.0,OFF,475.00,OFF,30.00,30.00,0.05,0.00,-0.01,0.00,21,0,0,0,OFF,Closed,100W MAX!,0.02,0,0,0,OFF,Closed,Al,0.11,0,0,0,OFF,Closed,Hf,0.03,0,0,0,0,OFF,Closed,Ti,0.26,0,Watts,320,389,830,ON,Open,Nb,0.42,320,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,0,0,0,OFF,Closed,Ta,0.14,0,Watts
31-Jan-25,3:40:32 PM,7,ON,30,0.00,3.0,OFF,475.00,OFF,30.00,30.00,0.05,0.00,-0.01,0.00,20,0,0,0,OFF,Closed,100W MAX!,0.02,0,0,0,OFF,Closed,Al,0.11,0,0,0,OFF,Closed,Hf,0.03,0,0,0,0,OFF,Closed,Ti,0.26,0,Watts,320,389,829,ON,Open,Nb,0.42,320,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,0,0,0,OFF,Closed,Ta,0.14,0,Watts
31-Jan-25,3:40:34 PM,7,ON,30,0.00,3.0,OFF,475.00,OFF,30.00,30.00,0.05,0.00,-0.01,0.00,20,0,0,0,OFF,Closed,100W MAX!,0.02,0,0,0,OFF,Closed,Al,0.11,0,0,0,OFF,Closed,Hf,0.03,0,0,0,0,OFF,Closed,Ti,0.26,0,Watts,320,389,829,ON,Open,Nb,0.42,320,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,0,0,0,OFF,Closed,Ta,0.14,0,Watts
31-Jan-25,3:40:36 PM,7,ON,30,0.00,3.0,OFF,475.00,OFF,30.00,30.00,0.05,0.00,-0.01,0.00,20,0,0,0,OFF,Closed,100W MAX!,0.02,0,0,0,OFF,Closed,Al,0.11,0,0,0,OFF,Closed,Hf,0.03,0,0,0,0,OFF,Closed,Ti,0.26,0,Watts,320,389,829,ON,Open,Nb,0.42,320,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,0,0,0,OFF,Closed,Ta,0.14,0,Watts
31-Jan-25,3:40:38 PM,7,ON,30,0.00,3.0,OFF,475.00,OFF,30.00,30.00,0.05,0.00,-0.01,0.00,21,0,0,0,OFF,Closed,100W MAX!,0.02,0,0,0,OFF,Closed,Al,0.11,0,0,0,OFF,Closed,Hf,0.03,0,0,0,0,OFF,Closed,Ti,0.26,0,Watts,320,389,830,ON,Open,Nb,0.42,320,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,0,0,0,OFF,Closed,Ta,0.14,0,Watts
31-Jan-25,3:40:40 PM,7,ON,30,0.00,3.0,OFF,475.00,OFF,30.00,30.00,0.05,0.00,-0.01,0.00,21,0,0,0,OFF,Closed,100W MAX!,0.02,0,0,0,OFF,Closed,Al,0.11,0,0,0,OFF,Closed,Hf,0.03,0,0,0,0,OFF,Closed,Ti,0.26,0,Watts,320,389,830,ON,Open,Nb,0.42,320,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,0,0,0,OFF,Closed,Ta,0.14,0,Watts
31-Jan-25,3:40:42 PM,7,ON,30,0.00,3.0,OFF,475.00,OFF,30.00,30.00,0.05,0.00,-0.01,0.00,21,0,0,0,OFF,Closed,100W MAX!,0.02,0,0,0,OFF,Closed,Al,0.11,0,0,0,OFF,Closed,Hf,0.03,0,0,0,0,OFF,Closed,Ti,0.26,0,Watts,320,389,830,ON,Open,Nb,0.42,320,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,0,0,0,OFF,Closed,Ta,0.14,0,Watts
31-Jan-25,3:40:44 PM,7,ON,30,0.00,3.0,OFF,475.00,OFF,30.00,30.00,0.05,0.00,-0.01,0.00,21,0,0,0,OFF,Closed,100W MAX!,0.02,0,0,0,OFF,Closed,Al,0.11,0,0,0,OFF,Closed,Hf,0.03,0,0,0,0,OFF,Closed,Ti,0.26,0,Watts,320,389,830,ON,Open,Nb,0.42,320,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,0,0,0,OFF,Closed,Ta,0.14,0,Watts
31-Jan-25,3:40:46 PM,7,ON,30,0.00,3.0,OFF,475.00,OFF,30.00,30.00,0.05,0.00,-0.01,0.00,21,0,0,0,OFF,Closed,100W MAX!,0.02,0,0,0,OFF,Closed,Al,0.11,0,0,0,OFF,Closed,Hf,0.03,0,0,0,0,OFF,Closed,Ti,0.26,0,Watts,320,389,829,ON,Open,Nb,0.42,320,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,0,0,0,OFF,Closed,Ta,0.14,0,Watts
31-Jan-25,3:40:49 PM,7,ON,30,0.00,3.0,OFF,475.00,OFF,30.00,30.00,0.05,0.00,-0.01,0.00,21,0,0,0,OFF,Closed,100W MAX!,0.02,0,0,0,OFF,Closed,Al,0.11,0,0,0,OFF,Closed,Hf,0.03,0,0,0,0,OFF,Closed,Ti,0.26,0,Watts,320,389,829,ON,Open,Nb,0.42,320,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,0,0,0,OFF,Closed,Ta,0.14,0,Watts
31-Jan-25,3:40:51 PM,7,ON,30,0.00,3.0,OFF,475.00,OFF,30.00,30.00,0.05,0.00,-0.01,0.00,21,0,0,0,OFF,Closed,100W MAX!,0.02,0,0,0,OFF,Closed,Al,0.11,0,0,0,OFF,Closed,Hf,0.03,0,0,0,0,OFF,Closed,Ti,0.26,0,Watts,320,389,829,ON,Open,Nb,0.42,320,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,0,0,0,OFF,Closed,Ta,0.14,0,Watts
31-Jan-25,3:40:53 PM,7,ON,30,0.00,2.9,OFF,475.00,OFF,30.00,30.00,0.05,0.00,-0.01,0.00,21,0,0,0,OFF,Closed,100W MAX!,0.02,0,0,0,OFF,Closed,Al,0.11,0,0,0,OFF,Closed,Hf,0.03,0,0,0,0,OFF,Closed,Ti,0.26,0,Watts,320,389,829,ON,Open,Nb,0.42,320,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,0,0,0,OFF,Closed,Ta,0.14,0,Watts
31-Jan-25,3:40:55 PM,7,ON,30,0.00,2.9,OFF,475.00,OFF,30.00,30.00,0.05,0.00,-0.01,0.00,21,0,0,0,OFF,Closed,100W MAX!,0.02,0,0,0,OFF,Closed,Al,0.11,0,0,0,OFF,Closed,Hf,0.03,0,0,0,0,OFF,Closed,Ti,0.26,0,Watts,320,389,829,ON,Open,Nb,0.42,320,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,0,0,0,OFF,Closed,Ta,0.14,0,Watts
31-Jan-25,3:40:57 PM,7,ON,30,0.00,3.0,OFF,475.00,OFF,30.00,30.00,0.05,0.00,-0.01,0.00,20,0,0,0,OFF,Closed,100W MAX!,0.02,0,0,0,OFF,Closed,Al,0.11,0,0,0,OFF,Closed,Hf,0.03,0,0,0,0,OFF,Closed,Ti,0.26,0,Watts,320,389,830,ON,Open,Nb,0.42,320,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,0,0,0,OFF,Closed,Ta,0.14,0,Watts
31-Jan-25,3:40:59 PM,7,ON,30,0.00,3.0,OFF,475.00,OFF,30.00,30.00,0.05,0.00,-0.01,0.00,20,0,0,0,OFF,Closed,100W MAX!,0.02,0,0,0,OFF,Closed,Al,0.11,0,0,0,OFF,Closed,Hf,0.03,0,0,0,0,OFF,Closed,Ti,0.26,0,Watts,320,389,830,ON,Open,Nb,0.42,320,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,0,0,0,OFF,Closed,Ta,0.14,0,Watts
31-Jan-25,3:41:01 PM,7,ON,30,0.00,3.1,OFF,475.00,OFF,30.00,30.00,0.05,0.00,-0.01,0.00,20,0,0,0,OFF,Closed,100W MAX!,0.02,0,0,0,OFF,Closed,Al,0.11,0,0,0,OFF,Closed,Hf,0.03,0,0,0,0,OFF,Closed,Ti,0.26,0,Watts,320,389,829,ON,Open,Nb,0.42,320,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,0,0,0,OFF,Closed,Ta,0.14,0,Watts
31-Jan-25,3:41:03 PM,7,ON,30,0.00,3.1,OFF,475.00,OFF,30.00,30.00,0.05,0.00,-0.01,0.00,20,0,0,0,OFF,Closed,100W MAX!,0.02,0,0,0,OFF,Closed,Al,0.11,0,0,0,OFF,Closed,Hf,0.03,0,0,0,0,OFF,Closed,Ti,0.26,0,Watts,320,389,829,ON,Open,Nb,0.42,320,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,0,0,0,OFF,Closed,Ta,0.14,0,Watts
31-Jan-25,3:41:05 PM,7,ON,30,0.00,3.0,OFF,475.00,OFF,30.00,30.00,0.05,0.00,-0.01,0.00,21,0,0,0,OFF,Closed,100W MAX!,0.02,0,0,0,OFF,Closed,Al,0.11,0,0,0,OFF,Closed,Hf,0.03,0,0,0,0,OFF,Closed,Ti,0.26,0,Watts,320,389,829,ON,Open,Nb,0.42,320,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,0,0,0,OFF,Closed,Ta,0.14,0,Watts
31-Jan-25,3:41:07 PM,7,ON,30,0.00,3.0,OFF,475.00,OFF,30.00,30.00,0.05,0.00,-0.01,0.00,21,0,0,0,OFF,Closed,100W MAX!,0.02,0,0,0,OFF,Closed,Al,0.11,0,0,0,OFF,Closed,Hf,0.03,0,0,0,0,OFF,Closed,Ti,0.26,0,Watts,320,389,829,ON,Open,Nb,0.42,320,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,0,0,0,OFF,Closed,Ta,0.14,0,Watts
31-Jan-25,3:41:09 PM,7,ON,30,0.00,3.0,OFF,475.00,OFF,30.00,30.00,0.05,0.00,-0.01,0.00,20,0,0,0,OFF,Closed,100W MAX!,0.02,0,0,0,OFF,Closed,Al,0.11,0,0,0,OFF,Closed,Hf,0.03,0,0,0,0,OFF,Closed,Ti,0.26,0,Watts,320,389,831,ON,Open,Nb,0.42,320,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,0,0,0,OFF,Closed,Ta,0.14,0,Watts
31-Jan-25,3:41:12 PM,7,ON,30,0.00,3.0,OFF,475.00,OFF,30.00,30.00,0.05,0.00,-0.01,0.00,20,0,0,0,OFF,Closed,100W MAX!,0.02,0,0,0,OFF,Closed,Al,0.11,0,0,0,OFF,Closed,Hf,0.03,0,0,0,0,OFF,Closed,Ti,0.26,0,Watts,320,389,831,ON,Open,Nb,0.42,320,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,0,0,0,OFF,Closed,Ta,0.14,0,Watts
31-Jan-25,3:41:14 PM,7,ON,30,0.00,3.0,OFF,475.00,OFF,30.00,30.00,0.05,0.00,-0.01,0.00,20,0,0,0,OFF,Closed,100W MAX!,0.02,0,0,0,OFF,Closed,Al,0.11,0,0,0,OFF,Closed,Hf,0.03,0,0,0,0,OFF,Closed,Ti,0.26,0,Watts,320,389,831,ON,Open,Nb,0.42,320,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,0,0,0,OFF,Closed,Ta,0.14,0,Watts
31-Jan-25,3:41:16 PM,7,ON,30,0.00,3.0,OFF,475.00,OFF,30.00,30.00,0.05,0.00,-0.01,0.00,21,0,0,0,OFF,Closed,100W MAX!,0.02,0,0,0,OFF,Closed,Al,0.11,0,0,0,OFF,Closed,Hf,0.03,0,0,0,0,OFF,Closed,Ti,0.26,0,Watts,321,389,830,ON,Open,Nb,0.42,320,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,0,0,0,OFF,Closed,Ta,0.14,0,Watts
31-Jan-25,3:41:18 PM,7,ON,30,0.00,3.0,OFF,475.00,OFF,30.00,30.00,0.05,0.00,-0.01,0.00,21,0,0,0,OFF,Closed,100W MAX!,0.02,0,0,0,OFF,Closed,Al,0.11,0,0,0,OFF,Closed,Hf,0.03,0,0,0,0,OFF,Closed,Ti,0.26,0,Watts,321,389,830,ON,Open,Nb,0.42,320,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,0,0,0,OFF,Closed,Ta,0.14,0,Watts
31-Jan-25,3:41:20 PM,7,ON,30,0.00,3.0,OFF,475.00,OFF,30.00,30.00,0.05,0.00,-0.01,0.00,21,0,0,0,OFF,Closed,100W MAX!,0.02,0,0,0,OFF,Closed,Al,0.11,0,0,0,OFF,Closed,Hf,0.03,0,0,0,0,OFF,Closed,Ti,0.26,0,Watts,320,389,829,ON,Open,Nb,0.42,320,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,0,0,0,OFF,Closed,Ta,0.14,0,Watts
31-Jan-25,3:41:22 PM,7,ON,30,0.00,3.0,OFF,475.00,OFF,30.00,30.00,0.05,0.00,-0.01,0.00,21,0,0,0,OFF,Closed,100W MAX!,0.02,0,0,0,OFF,Closed,Al,0.11,0,0,0,OFF,Closed,Hf,0.03,0,0,0,0,OFF,Closed,Ti,0.26,0,Watts,320,389,829,ON,Open,Nb,0.42,320,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,0,0,0,OFF,Closed,Ta,0.14,0,Watts
31-Jan-25,3:41:24 PM,7,ON,30,0.00,3.0,OFF,475.00,OFF,30.00,30.00,0.05,0.00,-0.01,0.00,20,0,0,0,OFF,Closed,100W MAX!,0.02,0,0,0,OFF,Closed,Al,0.11,0,0,0,OFF,Closed,Hf,0.03,0,0,0,0,OFF,Closed,Ti,0.26,0,Watts,321,389,830,ON,Open,Nb,0.42,320,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,0,0,0,OFF,Closed,Ta,0.14,0,Watts
31-Jan-25,3:41:26 PM,7,ON,30,0.00,3.0,OFF,475.00,OFF,30.00,30.00,0.05,0.00,-0.01,0.00,20,0,0,0,OFF,Closed,100W MAX!,0.02,0,0,0,OFF,Closed,Al,0.11,0,0,0,OFF,Closed,Hf,0.03,0,0,0,0,OFF,Closed,Ti,0.26,0,Watts,321,389,830,ON,Open,Nb,0.42,320,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,0,0,0,OFF,Closed,Ta,0.14,0,Watts
31-Jan-25,3:41:28 PM,7,ON,30,0.00,3.0,OFF,475.00,OFF,30.00,30.00,0.05,0.00,-0.01,0.00,20,0,0,0,OFF,Closed,100W MAX!,0.02,0,0,0,OFF,Closed,Al,0.11,0,0,0,OFF,Closed,Hf,0.03,0,0,0,0,OFF,Closed,Ti,0.26,0,Watts,320,389,830,ON,Open,Nb,0.42,320,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,0,0,0,OFF,Closed,Ta,0.14,0,Watts
31-Jan-25,3:41:30 PM,7,ON,30,0.00,3.0,OFF,475.00,OFF,30.00,30.00,0.05,0.00,-0.01,0.00,20,0,0,0,OFF,Closed,100W MAX!,0.02,0,0,0,OFF,Closed,Al,0.11,0,0,0,OFF,Closed,Hf,0.03,0,0,0,0,OFF,Closed,Ti,0.26,0,Watts,320,389,830,ON,Open,Nb,0.42,320,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,0,0,0,OFF,Closed,Ta,0.14,0,Watts
31-Jan-25,3:41:32 PM,7,ON,30,0.00,3.0,OFF,475.00,OFF,30.00,30.00,0.05,0.00,-0.01,0.00,20,0,0,0,OFF,Closed,100W MAX!,0.02,0,0,0,OFF,Closed,Al,0.11,0,0,0,OFF,Closed,Hf,0.03,0,0,0,0,OFF,Closed,Ti,0.26,0,Watts,320,389,830,ON,Open,Nb,0.42,320,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,0,0,0,OFF,Closed,Ta,0.14,0,Watts
31-Jan-25,3:41:34 PM,7,ON,30,0.00,3.1,OFF,475.00,OFF,30.00,30.00,0.05,0.00,-0.01,0.00,20,0,0,0,OFF,Closed,100W MAX!,0.02,0,0,0,OFF,Closed,Al,0.11,0,0,0,OFF,Closed,Hf,0.03,0,0,0,0,OFF,Closed,Ti,0.26,0,Watts,320,389,829,ON,Open,Nb,0.42,320,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,0,0,0,OFF,Closed,Ta,0.14,0,Watts
31-Jan-25,3:41:36 PM,7,ON,30,0.00,3.1,OFF,475.00,OFF,30.00,30.00,0.05,0.00,-0.01,0.00,20,0,0,0,OFF,Closed,100W MAX!,0.02,0,0,0,OFF,Closed,Al,0.11,0,0,0,OFF,Closed,Hf,0.03,0,0,0,0,OFF,Closed,Ti,0.26,0,Watts,320,389,829,ON,Open,Nb,0.42,320,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,0,0,0,OFF,Closed,Ta,0.14,0,Watts
31-Jan-25,3:41:39 PM,7,ON,30,0.00,3.0,OFF,475.00,OFF,30.00,30.00,0.05,0.00,-0.01,0.00,21,0,0,0,OFF,Closed,100W MAX!,0.02,0,0,0,OFF,Closed,Al,0.11,0,0,0,OFF,Closed,Hf,0.03,0,0,0,0,OFF,Closed,Ti,0.26,0,Watts,320,389,829,ON,Open,Nb,0.42,320,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,0,0,0,OFF,Closed,Ta,0.14,0,Watts
31-Jan-25,3:41:41 PM,7,ON,30,0.00,3.0,OFF,475.00,OFF,30.00,30.00,0.05,0.00,-0.01,0.00,21,0,0,0,OFF,Closed,100W MAX!,0.02,0,0,0,OFF,Closed,Al,0.11,0,0,0,OFF,Closed,Hf,0.03,0,0,0,0,OFF,Closed,Ti,0.26,0,Watts,320,389,829,ON,Open,Nb,0.42,320,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,0,0,0,OFF,Closed,Ta,0.14,0,Watts
31-Jan-25,3:41:43 PM,7,ON,30,0.00,3.1,OFF,475.00,OFF,30.00,30.00,0.05,0.00,-0.01,0.00,21,0,0,0,OFF,Closed,100W MAX!,0.02,0,0,0,OFF,Closed,Al,0.11,0,0,0,OFF,Closed,Hf,0.03,0,0,0,0,OFF,Closed,Ti,0.26,0,Watts,321,389,829,ON,Open,Nb,0.42,320,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,0,0,0,OFF,Closed,Ta,0.14,0,Watts
31-Jan-25,3:41:45 PM,7,ON,30,0.00,3.1,OFF,475.00,OFF,30.00,30.00,0.05,0.00,-0.01,0.00,21,0,0,0,OFF,Closed,100W MAX!,0.02,0,0,0,OFF,Closed,Al,0.11,0,0,0,OFF,Closed,Hf,0.03,0,0,0,0,OFF,Closed,Ti,0.26,0,Watts,321,389,829,ON,Open,Nb,0.42,320,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,0,0,0,OFF,Closed,Ta,0.14,0,Watts
31-Jan-25,3:41:47 PM,7,ON,30,0.00,3.1,OFF,475.00,OFF,30.00,30.00,0.05,0.00,-0.01,0.00,20,0,0,0,OFF,Closed,100W MAX!,0.02,0,0,0,OFF,Closed,Al,0.11,0,0,0,OFF,Closed,Hf,0.03,0,0,0,0,OFF,Closed,Ti,0.26,0,Watts,321,389,828,ON,Open,Nb,0.42,320,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,0,0,0,OFF,Closed,Ta,0.14,0,Watts
31-Jan-25,3:41:49 PM,7,ON,30,0.00,3.0,OFF,475.00,OFF,30.00,30.00,0.05,0.00,-0.01,0.00,20,0,0,0,OFF,Closed,100W MAX!,0.02,0,0,0,OFF,Closed,Al,0.11,0,0,0,OFF,Closed,Hf,0.03,0,0,0,0,OFF,Closed,Ti,0.26,0,Watts,321,389,828,ON,Open,Nb,0.42,320,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,0,0,0,OFF,Closed,Ta,0.14,0,Watts
31-Jan-25,3:41:51 PM,7,ON,30,0.00,3.0,OFF,475.00,OFF,30.00,30.00,0.05,0.00,-0.01,0.00,20,0,0,0,OFF,Closed,100W MAX!,0.02,0,0,0,OFF,Closed,Al,0.11,0,0,0,OFF,Closed,Hf,0.03,0,0,0,0,OFF,Closed,Ti,0.26,0,Watts,321,389,828,ON,Open,Nb,0.42,320,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,0,0,0,OFF,Closed,Ta,0.14,0,Watts
31-Jan-25,3:41:53 PM,7,ON,30,0.00,3.0,OFF,475.00,OFF,30.00,30.00,0.05,0.00,-0.01,0.00,21,0,0,0,OFF,Closed,100W MAX!,0.02,0,0,0,OFF,Closed,Al,0.11,0,0,0,OFF,Closed,Hf,0.03,0,0,0,0,OFF,Closed,Ti,0.26,0,Watts,320,389,828,ON,Open,Nb,0.42,320,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,0,0,0,OFF,Closed,Ta,0.14,0,Watts
31-Jan-25,3:41:55 PM,7,ON,30,0.00,3.0,OFF,475.00,OFF,30.00,30.00,0.05,0.00,-0.01,0.00,21,0,0,0,OFF,Closed,100W MAX!,0.02,0,0,0,OFF,Closed,Al,0.11,0,0,0,OFF,Closed,Hf,0.03,0,0,0,0,OFF,Closed,Ti,0.26,0,Watts,320,389,828,ON,Open,Nb,0.42,320,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,0,0,0,OFF,Closed,Ta,0.14,0,Watts
31-Jan-25,3:41:57 PM,7,ON,30,0.00,3.0,OFF,475.00,OFF,30.00,30.00,0.05,0.00,-0.01,0.00,21,0,0,0,OFF,Closed,100W MAX!,0.02,0,0,0,OFF,Closed,Al,0.11,0,0,0,OFF,Closed,Hf,0.03,0,0,0,0,OFF,Closed,Ti,0.26,0,Watts,321,389,829,ON,Open,Nb,0.42,320,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,0,0,0,OFF,Closed,Ta,0.14,0,Watts
31-Jan-25,3:41:59 PM,7,ON,30,0.00,3.0,OFF,475.00,OFF,30.00,30.00,0.05,0.00,-0.01,0.00,21,0,0,0,OFF,Closed,100W MAX!,0.02,0,0,0,OFF,Closed,Al,0.11,0,0,0,OFF,Closed,Hf,0.03,0,0,0,0,OFF,Closed,Ti,0.26,0,Watts,321,389,829,ON,Open,Nb,0.42,320,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,0,0,0,OFF,Closed,Ta,0.14,0,Watts
31-Jan-25,3:42:02 PM,7,ON,30,0.00,3.0,OFF,475.00,OFF,30.00,30.00,0.05,0.00,-0.01,0.00,22,0,0,0,OFF,Closed,100W MAX!,0.02,0,0,0,OFF,Closed,Al,0.11,0,0,0,OFF,Closed,Hf,0.03,0,0,0,0,OFF,Closed,Ti,0.26,0,Watts,321,389,830,ON,Open,Nb,0.42,320,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,0,0,0,OFF,Closed,Ta,0.14,0,Watts
31-Jan-25,3:42:04 PM,7,ON,30,0.00,3.0,OFF,475.00,OFF,30.00,30.00,0.05,0.00,-0.01,0.00,22,0,0,0,OFF,Closed,100W MAX!,0.02,0,0,0,OFF,Closed,Al,0.11,0,0,0,OFF,Closed,Hf,0.03,0,0,0,0,OFF,Closed,Ti,0.26,0,Watts,321,389,830,ON,Open,Nb,0.42,320,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,0,0,0,OFF,Closed,Ta,0.14,0,Watts
31-Jan-25,3:42:06 PM,7,ON,30,0.00,3.0,OFF,475.00,OFF,30.00,30.00,0.05,0.00,-0.01,0.00,21,0,0,0,OFF,Closed,100W MAX!,0.02,0,0,0,OFF,Closed,Al,0.11,0,0,0,OFF,Closed,Hf,0.03,0,0,0,0,OFF,Closed,Ti,0.26,0,Watts,321,389,830,ON,Open,Nb,0.42,320,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,0,0,0,OFF,Closed,Ta,0.14,0,Watts
31-Jan-25,3:42:08 PM,7,ON,30,0.00,3.0,OFF,475.00,OFF,30.00,30.00,0.05,0.00,-0.01,0.00,21,0,0,0,OFF,Closed,100W MAX!,0.02,0,0,0,OFF,Closed,Al,0.11,0,0,0,OFF,Closed,Hf,0.03,0,0,0,0,OFF,Closed,Ti,0.26,0,Watts,321,389,830,ON,Open,Nb,0.42,320,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,0,0,0,OFF,Closed,Ta,0.14,0,Watts
31-Jan-25,3:42:10 PM,7,ON,30,0.00,3.0,OFF,475.00,OFF,30.00,30.00,0.05,0.00,-0.01,0.00,21,0,0,0,OFF,Closed,100W MAX!,0.02,0,0,0,OFF,Closed,Al,0.11,0,0,0,OFF,Closed,Hf,0.03,0,0,0,0,OFF,Closed,Ti,0.26,0,Watts,321,389,830,ON,Open,Nb,0.42,320,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,0,0,0,OFF,Closed,Ta,0.14,0,Watts
