password3,
Date,Time,Layer #,Sub. Rot.,Sub. Rot. Speed,Sub. Z Height,C.M. Press.,VAT Press Mode,VAT Pos STPT,VAT Pos Mode,Gas#1 Flow,Gas#1 STPT,Gas#2 Flow,Gas#2 STPT,Gas#3 Flow,Gas#3 STPT,Sub. Temp.,Sub. Temp. STPT,RF#1 W Fbdk,RF#1 DC Bias,RF#1 Plasma,RF#1 Shutter,RF#1 TGT,RF#1 KWH,RF#1 STPT,RF#2 W Fbdk,RF#2 DC Bias,RF#2 Plasma,RF#2 Shutter,RF#2 TGT,RF#2 KWH,RF#2 STPT,RF#3 W Fbdk,RF#3 DC Bias,RF#3 Plasma,RF#3 Shutter,RF#3 TGT,RF#3 KWH,RF#3 STPT,DC#1 W Fdbk,DC#1 V Fdbk,DC#1 mA Fdbk,DC#1 Plasma,DC#1 Shutter,DC#1 TGT,DC#1 KWH,DC#1 STPT,DC#1 MODE,DC#2 W Fdbk,DC#2 V Fdbk,DC#2 mA Fdbk,DC#2 Plasma,DC#2 Shutter,DC#2 TGT,DC#2 KWH,DC#2 STPT,DC#2 MODE,DC#3 W Fdbk,DC#3 V Fdbk,DC#3 mA Fdbk,DC#3 Plasma,DC#3 Shutter,DC#3 TGT,DC#3 KWH,DC#3 STPT,DC#3 MODE,DC SWITCH POS,DC#5 W Fdbk,DC#5 V Fdbk,DC#5 mA Fdbk,DC#5 Plasma,DC#5 Shutter,DC#5 TGT,DC#5 KWH,DC#5 STPT,DC#5 MODE
28-Jun-25,5:30:20 PM,5,ON,30,0.42,-0.1,OFF,1000.00,OFF,-0.34,0.00,0.06,0.00,-0.01,0.00,752,850,0,0,OFF,Closed,100W MAX!,0.04,0,0,0,OFF,Closed,Al,0.00,0,0,0,OFF,Closed,Hf,0.00,0,0,0,0,OFF,Closed,Ti,0.31,0,Watts,0,0,0,OFF,Closed,Nb,1.08,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,0,0,0,OFF,Closed,Ta,0.61,0,Watts
28-Jun-25,5:30:22 PM,5,ON,30,0.42,-0.1,OFF,1000.00,OFF,-0.34,0.00,0.06,0.00,-0.01,0.00,752,850,0,0,OFF,Closed,100W MAX!,0.04,0,0,0,OFF,Closed,Al,0.00,0,0,0,OFF,Closed,Hf,0.00,0,0,0,0,OFF,Closed,Ti,0.31,0,Watts,0,0,0,OFF,Closed,Nb,1.08,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,0,0,0,OFF,Closed,Ta,0.61,0,Watts
28-Jun-25,5:30:25 PM,5,ON,30,0.42,-0.1,OFF,1000.00,OFF,-0.34,0.00,0.06,0.00,-0.01,0.00,757,850,0,0,OFF,Closed,100W MAX!,0.04,0,0,0,OFF,Closed,Al,0.00,0,0,0,OFF,Closed,Hf,0.00,0,0,0,0,OFF,Closed,Ti,0.31,0,Watts,0,0,0,OFF,Closed,Nb,1.08,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,0,0,0,OFF,Closed,Ta,0.61,0,Watts
28-Jun-25,5:30:27 PM,5,ON,30,0.42,-0.1,OFF,1000.00,OFF,-0.34,0.00,0.06,0.00,-0.01,0.00,757,850,0,0,OFF,Closed,100W MAX!,0.04,0,0,0,OFF,Closed,Al,0.00,0,0,0,OFF,Closed,Hf,0.00,0,0,0,0,OFF,Closed,Ti,0.31,0,Watts,0,0,0,OFF,Closed,Nb,1.08,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,0,0,0,OFF,Closed,Ta,0.61,0,Watts
28-Jun-25,5:30:29 PM,5,ON,30,0.42,-0.1,OFF,1000.00,OFF,-0.34,0.00,0.06,0.00,-0.01,0.00,761,850,0,0,OFF,Closed,100W MAX!,0.04,0,0,0,OFF,Closed,Al,0.00,0,0,0,OFF,Closed,Hf,0.00,0,0,0,0,OFF,Closed,Ti,0.31,0,Watts,0,0,0,OFF,Closed,Nb,1.08,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,0,0,0,OFF,Closed,Ta,0.61,0,Watts
28-Jun-25,5:30:31 PM,5,ON,30,0.42,-0.1,OFF,1000.00,OFF,-0.34,0.00,0.06,0.00,-0.01,0.00,761,850,0,0,OFF,Closed,100W MAX!,0.04,0,0,0,OFF,Closed,Al,0.00,0,0,0,OFF,Closed,Hf,0.00,0,0,0,0,OFF,Closed,Ti,0.31,0,Watts,0,0,0,OFF,Closed,Nb,1.08,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,0,0,0,OFF,Closed,Ta,0.61,0,Watts
28-Jun-25,5:30:33 PM,5,ON,30,0.42,-0.1,OFF,1000.00,OFF,-0.34,0.00,0.06,0.00,-0.01,0.00,765,850,0,0,OFF,Closed,100W MAX!,0.04,0,0,0,OFF,Closed,Al,0.00,0,0,0,OFF,Closed,Hf,0.00,0,0,0,0,OFF,Closed,Ti,0.31,0,Watts,0,0,0,OFF,Closed,Nb,1.08,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,0,0,0,OFF,Closed,Ta,0.61,0,Watts
28-Jun-25,5:30:35 PM,5,ON,30,0.42,-0.1,OFF,1000.00,OFF,-0.34,0.00,0.06,0.00,-0.01,0.00,765,850,0,0,OFF,Closed,100W MAX!,0.04,0,0,0,OFF,Closed,Al,0.00,0,0,0,OFF,Closed,Hf,0.00,0,0,0,0,OFF,Closed,Ti,0.31,0,Watts,0,0,0,OFF,Closed,Nb,1.08,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,0,0,0,OFF,Closed,Ta,0.61,0,Watts
28-Jun-25,5:30:37 PM,5,ON,30,0.42,-0.1,OFF,1000.00,OFF,-0.34,0.00,0.06,0.00,-0.01,0.00,765,850,0,0,OFF,Closed,100W MAX!,0.04,0,0,0,OFF,Closed,Al,0.00,0,0,0,OFF,Closed,Hf,0.00,0,0,0,0,OFF,Closed,Ti,0.31,0,Watts,0,0,0,OFF,Closed,Nb,1.08,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,0,0,0,OFF,Closed,Ta,0.61,0,Watts
28-Jun-25,5:30:39 PM,5,ON,30,0.42,-0.0,OFF,1000.00,OFF,-0.34,0.00,0.06,0.00,-0.01,0.00,770,850,0,0,OFF,Closed,100W MAX!,0.04,0,0,0,OFF,Closed,Al,0.00,0,0,0,OFF,Closed,Hf,0.00,0,0,0,0,OFF,Closed,Ti,0.31,0,Watts,0,0,0,OFF,Closed,Nb,1.08,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,0,0,0,OFF,Closed,Ta,0.61,0,Watts
28-Jun-25,5:30:41 PM,5,ON,30,0.42,-0.0,OFF,1000.00,OFF,-0.34,0.00,0.06,0.00,-0.01,0.00,770,850,0,0,OFF,Closed,100W MAX!,0.04,0,0,0,OFF,Closed,Al,0.00,0,0,0,OFF,Closed,Hf,0.00,0,0,0,0,OFF,Closed,Ti,0.31,0,Watts,0,0,0,OFF,Closed,Nb,1.08,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,0,0,0,OFF,Closed,Ta,0.61,0,Watts
28-Jun-25,5:30:43 PM,5,ON,30,0.42,-0.1,OFF,1000.00,OFF,-0.34,0.00,0.06,0.00,-0.01,0.00,774,850,0,0,OFF,Closed,100W MAX!,0.04,0,0,0,OFF,Closed,Al,0.00,0,0,0,OFF,Closed,Hf,0.00,0,0,0,0,OFF,Closed,Ti,0.31,0,Watts,0,0,0,OFF,Closed,Nb,1.08,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,0,0,0,OFF,Closed,Ta,0.61,0,Watts
28-Jun-25,5:30:45 PM,5,ON,30,0.42,-0.1,OFF,1000.00,OFF,-0.34,0.00,0.06,0.00,-0.01,0.00,774,850,0,0,OFF,Closed,100W MAX!,0.04,0,0,0,OFF,Closed,Al,0.00,0,0,0,OFF,Closed,Hf,0.00,0,0,0,0,OFF,Closed,Ti,0.31,0,Watts,0,0,0,OFF,Closed,Nb,1.08,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,0,0,0,OFF,Closed,Ta,0.61,0,Watts
28-Jun-25,5:30:47 PM,5,ON,30,0.42,-0.1,OFF,1000.00,OFF,-0.34,0.00,0.06,0.00,-0.01,0.00,774,850,0,0,OFF,Closed,100W MAX!,0.04,0,0,0,OFF,Closed,Al,0.00,0,0,0,OFF,Closed,Hf,0.00,0,0,0,0,OFF,Closed,Ti,0.31,0,Watts,0,0,0,OFF,Closed,Nb,1.08,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,0,0,0,OFF,Closed,Ta,0.61,0,Watts
28-Jun-25,5:30:49 PM,5,ON,30,0.42,-0.1,OFF,1000.00,OFF,-0.34,0.00,0.06,0.00,-0.01,0.00,774,850,0,0,OFF,Closed,100W MAX!,0.04,0,0,0,OFF,Closed,Al,0.00,0,0,0,OFF,Closed,Hf,0.00,0,0,0,0,OFF,Closed,Ti,0.31,0,Watts,0,0,0,OFF,Closed,Nb,1.08,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,0,0,0,OFF,Closed,Ta,0.61,0,Watts
28-Jun-25,5:30:51 PM,5,ON,30,0.42,-0.1,OFF,1000.00,OFF,-0.34,0.00,0.06,0.00,-0.01,0.00,774,850,0,0,OFF,Closed,100W MAX!,0.04,0,0,0,OFF,Closed,Al,0.00,0,0,0,OFF,Closed,Hf,0.00,0,0,0,0,OFF,Closed,Ti,0.31,0,Watts,0,0,0,OFF,Closed,Nb,1.08,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,0,0,0,OFF,Closed,Ta,0.61,0,Watts
28-Jun-25,5:30:53 PM,5,ON,30,0.42,-0.0,OFF,1000.00,OFF,-0.34,0.00,0.06,0.00,-0.01,0.00,774,850,0,0,OFF,Closed,100W MAX!,0.04,0,0,0,OFF,Closed,Al,0.00,0,0,0,OFF,Closed,Hf,0.00,0,0,0,0,OFF,Closed,Ti,0.31,0,Watts,0,0,0,OFF,Closed,Nb,1.08,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,0,0,0,OFF,Closed,Ta,0.61,0,Watts
28-Jun-25,5:30:55 PM,5,ON,30,0.42,-0.0,OFF,1000.00,OFF,-0.34,0.00,0.06,0.00,-0.01,0.00,774,850,0,0,OFF,Closed,100W MAX!,0.04,0,0,0,OFF,Closed,Al,0.00,0,0,0,OFF,Closed,Hf,0.00,0,0,0,0,OFF,Closed,Ti,0.31,0,Watts,0,0,0,OFF,Closed,Nb,1.08,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,0,0,0,OFF,Closed,Ta,0.61,0,Watts
28-Jun-25,5:30:58 PM,5,ON,30,0.42,-0.1,OFF,1000.00,OFF,-0.34,0.00,0.06,0.00,-0.01,0.00,774,850,0,0,OFF,Closed,100W MAX!,0.04,0,0,0,OFF,Closed,Al,0.00,0,0,0,OFF,Closed,Hf,0.00,0,0,0,0,OFF,Closed,Ti,0.31,0,Watts,0,0,0,OFF,Closed,Nb,1.08,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,0,0,0,OFF,Closed,Ta,0.61,0,Watts
28-Jun-25,5:31:00 PM,5,ON,30,0.42,-0.1,OFF,1000.00,OFF,-0.34,0.00,0.06,0.00,-0.01,0.00,774,850,0,0,OFF,Closed,100W MAX!,0.04,0,0,0,OFF,Closed,Al,0.00,0,0,0,OFF,Closed,Hf,0.00,0,0,0,0,OFF,Closed,Ti,0.31,0,Watts,0,0,0,OFF,Closed,Nb,1.08,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,0,0,0,OFF,Closed,Ta,0.61,0,Watts
28-Jun-25,5:31:02 PM,5,ON,30,0.42,-0.1,OFF,1000.00,OFF,-0.34,0.00,0.06,0.00,-0.01,0.00,772,850,0,0,OFF,Closed,100W MAX!,0.04,0,0,0,OFF,Closed,Al,0.00,0,0,0,OFF,Closed,Hf,0.00,0,0,0,0,OFF,Closed,Ti,0.31,0,Watts,0,0,0,OFF,Closed,Nb,1.08,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,0,0,0,OFF,Closed,Ta,0.61,0,Watts
28-Jun-25,5:31:04 PM,5,ON,30,0.42,-0.1,OFF,1000.00,OFF,-0.34,0.00,0.06,0.00,-0.01,0.00,772,850,0,0,OFF,Closed,100W MAX!,0.04,0,0,0,OFF,Closed,Al,0.00,0,0,0,OFF,Closed,Hf,0.00,0,0,0,0,OFF,Closed,Ti,0.31,0,Watts,0,0,0,OFF,Closed,Nb,1.08,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,0,0,0,OFF,Closed,Ta,0.61,0,Watts
28-Jun-25,5:31:06 PM,5,ON,30,0.42,-0.0,OFF,1000.00,OFF,-0.34,0.00,0.06,0.00,-0.01,0.00,771,850,0,0,OFF,Closed,100W MAX!,0.04,0,0,0,OFF,Closed,Al,0.00,0,0,0,OFF,Closed,Hf,0.00,0,0,0,0,OFF,Closed,Ti,0.31,0,Watts,0,0,0,OFF,Closed,Nb,1.08,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,0,0,0,OFF,Closed,Ta,0.61,0,Watts
28-Jun-25,5:31:08 PM,5,ON,30,0.42,-0.0,OFF,1000.00,OFF,-0.34,0.00,0.06,0.00,-0.01,0.00,771,850,0,0,OFF,Closed,100W MAX!,0.04,0,0,0,OFF,Closed,Al,0.00,0,0,0,OFF,Closed,Hf,0.00,0,0,0,0,OFF,Closed,Ti,0.31,0,Watts,0,0,0,OFF,Closed,Nb,1.08,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,0,0,0,OFF,Closed,Ta,0.61,0,Watts
28-Jun-25,5:31:10 PM,5,ON,30,0.42,-0.0,OFF,1000.00,OFF,-0.34,0.00,0.06,0.00,-0.01,0.00,770,850,0,0,OFF,Closed,100W MAX!,0.04,0,0,0,OFF,Closed,Al,0.00,0,0,0,OFF,Closed,Hf,0.00,0,0,0,0,OFF,Closed,Ti,0.31,0,Watts,0,0,0,OFF,Closed,Nb,1.08,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,0,0,0,OFF,Closed,Ta,0.61,0,Watts
28-Jun-25,5:31:12 PM,5,ON,30,0.42,-0.1,OFF,1000.00,OFF,-0.34,0.00,0.06,0.00,-0.01,0.00,770,850,0,0,OFF,Closed,100W MAX!,0.04,0,0,0,OFF,Closed,Al,0.00,0,0,0,OFF,Closed,Hf,0.00,0,0,0,0,OFF,Closed,Ti,0.31,0,Watts,0,0,0,OFF,Closed,Nb,1.08,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,0,0,0,OFF,Closed,Ta,0.61,0,Watts
28-Jun-25,5:31:14 PM,5,ON,30,0.42,-0.1,OFF,1000.00,OFF,-0.34,0.00,0.06,0.00,-0.01,0.00,770,850,0,0,OFF,Closed,100W MAX!,0.04,0,0,0,OFF,Closed,Al,0.00,0,0,0,OFF,Closed,Hf,0.00,0,0,0,0,OFF,Closed,Ti,0.31,0,Watts,0,0,0,OFF,Closed,Nb,1.08,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,0,0,0,OFF,Closed,Ta,0.61,0,Watts
28-Jun-25,5:31:16 PM,5,ON,30,0.42,-0.1,OFF,1000.00,OFF,-0.34,0.00,0.06,0.00,-0.01,0.00,769,850,0,0,OFF,Closed,100W MAX!,0.04,0,0,0,OFF,Closed,Al,0.00,0,0,0,OFF,Closed,Hf,0.00,0,0,0,0,OFF,Closed,Ti,0.31,0,Watts,0,0,0,OFF,Closed,Nb,1.08,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,0,0,0,OFF,Closed,Ta,0.61,0,Watts
28-Jun-25,5:31:18 PM,5,ON,30,0.42,-0.1,OFF,1000.00,OFF,-0.34,0.00,0.06,0.00,-0.01,0.00,769,850,0,0,OFF,Closed,100W MAX!,0.04,0,0,0,OFF,Closed,Al,0.00,0,0,0,OFF,Closed,Hf,0.00,0,0,0,0,OFF,Closed,Ti,0.31,0,Watts,0,0,0,OFF,Closed,Nb,1.08,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,0,0,0,OFF,Closed,Ta,0.61,0,Watts
28-Jun-25,5:31:21 PM,5,ON,30,0.42,-0.1,OFF,1000.00,OFF,-0.34,0.00,0.06,0.00,-0.01,0.00,769,850,0,0,OFF,Closed,100W MAX!,0.04,0,0,0,OFF,Closed,Al,0.00,0,0,0,OFF,Closed,Hf,0.00,0,0,0,0,OFF,Closed,Ti,0.31,0,Watts,0,0,0,OFF,Closed,Nb,1.08,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,0,0,0,OFF,Closed,Ta,0.61,0,Watts
28-Jun-25,5:31:23 PM,5,ON,30,0.42,-0.1,OFF,1000.00,OFF,-0.34,0.00,0.06,0.00,-0.01,0.00,769,850,0,0,OFF,Closed,100W MAX!,0.04,0,0,0,OFF,Closed,Al,0.00,0,0,0,OFF,Closed,Hf,0.00,0,0,0,0,OFF,Closed,Ti,0.31,0,Watts,0,0,0,OFF,Closed,Nb,1.08,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,0,0,0,OFF,Closed,Ta,0.61,0,Watts
28-Jun-25,5:31:25 PM,5,ON,30,0.42,-0.1,OFF,1000.00,OFF,-0.34,0.00,0.06,0.00,-0.01,0.00,769,850,0,0,OFF,Closed,100W MAX!,0.04,0,0,0,OFF,Closed,Al,0.00,0,0,0,OFF,Closed,Hf,0.00,0,0,0,0,OFF,Closed,Ti,0.31,0,Watts,0,0,0,OFF,Closed,Nb,1.08,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,0,0,0,OFF,Closed,Ta,0.61,0,Watts
28-Jun-25,5:31:27 PM,5,ON,30,0.42,-0.1,OFF,1000.00,OFF,-0.34,0.00,0.06,0.00,-0.01,0.00,769,850,0,0,OFF,Closed,100W MAX!,0.04,0,0,0,OFF,Closed,Al,0.00,0,0,0,OFF,Closed,Hf,0.00,0,0,0,0,OFF,Closed,Ti,0.31,0,Watts,0,0,0,OFF,Closed,Nb,1.08,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,0,0,0,OFF,Closed,Ta,0.61,0,Watts
28-Jun-25,5:31:29 PM,5,ON,30,0.42,-0.1,OFF,1000.00,OFF,-0.34,0.00,0.06,0.00,-0.01,0.00,769,850,0,0,OFF,Closed,100W MAX!,0.04,0,0,0,OFF,Closed,Al,0.00,0,0,0,OFF,Closed,Hf,0.00,0,0,0,0,OFF,Closed,Ti,0.31,0,Watts,0,0,0,OFF,Closed,Nb,1.08,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,0,0,0,OFF,Closed,Ta,0.61,0,Watts
28-Jun-25,5:31:31 PM,5,ON,30,0.42,-0.1,OFF,1000.00,OFF,-0.34,0.00,0.06,0.00,-0.01,0.00,770,850,0,0,OFF,Closed,100W MAX!,0.04,0,0,0,OFF,Closed,Al,0.00,0,0,0,OFF,Closed,Hf,0.00,0,0,0,0,OFF,Closed,Ti,0.31,0,Watts,0,0,0,OFF,Closed,Nb,1.08,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,0,0,0,OFF,Closed,Ta,0.61,0,Watts
28-Jun-25,5:31:33 PM,5,ON,30,0.42,-0.1,OFF,1000.00,OFF,-0.34,0.00,0.06,0.00,-0.01,0.00,770,850,0,0,OFF,Closed,100W MAX!,0.04,0,0,0,OFF,Closed,Al,0.00,0,0,0,OFF,Closed,Hf,0.00,0,0,0,0,OFF,Closed,Ti,0.31,0,Watts,0,0,0,OFF,Closed,Nb,1.08,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,0,0,0,OFF,Closed,Ta,0.61,0,Watts
28-Jun-25,5:31:35 PM,5,ON,30,0.42,-0.0,OFF,1000.00,OFF,-0.34,0.00,0.06,0.00,-0.01,0.00,770,850,0,0,OFF,Closed,100W MAX!,0.04,0,0,0,OFF,Closed,Al,0.00,0,0,0,OFF,Closed,Hf,0.00,0,0,0,0,OFF,Closed,Ti,0.31,0,Watts,0,0,0,OFF,Closed,Nb,1.08,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,0,0,0,OFF,Closed,Ta,0.61,0,Watts
28-Jun-25,5:31:37 PM,5,ON,30,0.42,-0.0,OFF,1000.00,OFF,-0.34,0.00,0.06,0.00,-0.01,0.00,770,850,0,0,OFF,Closed,100W MAX!,0.04,0,0,0,OFF,Closed,Al,0.00,0,0,0,OFF,Closed,Hf,0.00,0,0,0,0,OFF,Closed,Ti,0.31,0,Watts,0,0,0,OFF,Closed,Nb,1.08,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,0,0,0,OFF,Closed,Ta,0.61,0,Watts
28-Jun-25,5:31:39 PM,5,ON,30,0.42,-0.1,OFF,1000.00,OFF,-0.34,0.00,0.06,0.00,-0.01,0.00,772,850,0,0,OFF,Closed,100W MAX!,0.04,0,0,0,OFF,Closed,Al,0.00,0,0,0,OFF,Closed,Hf,0.00,0,0,0,0,OFF,Closed,Ti,0.31,0,Watts,0,0,0,OFF,Closed,Nb,1.08,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,0,0,0,OFF,Closed,Ta,0.61,0,Watts
28-Jun-25,5:31:41 PM,5,ON,30,0.42,-0.1,OFF,1000.00,OFF,-0.34,0.00,0.06,0.00,-0.01,0.00,772,850,0,0,OFF,Closed,100W MAX!,0.04,0,0,0,OFF,Closed,Al,0.00,0,0,0,OFF,Closed,Hf,0.00,0,0,0,0,OFF,Closed,Ti,0.31,0,Watts,0,0,0,OFF,Closed,Nb,1.08,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,0,0,0,OFF,Closed,Ta,0.61,0,Watts
28-Jun-25,5:31:43 PM,5,ON,30,0.42,-0.1,OFF,1000.00,OFF,-0.34,0.00,0.06,0.00,-0.01,0.00,772,850,0,0,OFF,Closed,100W MAX!,0.04,0,0,0,OFF,Closed,Al,0.00,0,0,0,OFF,Closed,Hf,0.00,0,0,0,0,OFF,Closed,Ti,0.31,0,Watts,0,0,0,OFF,Closed,Nb,1.08,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,0,0,0,OFF,Closed,Ta,0.61,0,Watts
28-Jun-25,5:31:45 PM,5,ON,30,0.42,-0.1,OFF,1000.00,OFF,-0.34,0.00,0.06,0.00,-0.01,0.00,773,850,0,0,OFF,Closed,100W MAX!,0.04,0,0,0,OFF,Closed,Al,0.00,0,0,0,OFF,Closed,Hf,0.00,0,0,0,0,OFF,Closed,Ti,0.31,0,Watts,0,0,0,OFF,Closed,Nb,1.08,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,0,0,0,OFF,Closed,Ta,0.61,0,Watts
28-Jun-25,5:31:47 PM,5,ON,30,0.42,-0.1,OFF,1000.00,OFF,-0.34,0.00,0.06,0.00,-0.01,0.00,773,850,0,0,OFF,Closed,100W MAX!,0.04,0,0,0,OFF,Closed,Al,0.00,0,0,0,OFF,Closed,Hf,0.00,0,0,0,0,OFF,Closed,Ti,0.31,0,Watts,0,0,0,OFF,Closed,Nb,1.08,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,0,0,0,OFF,Closed,Ta,0.61,0,Watts
28-Jun-25,5:31:49 PM,5,ON,30,0.42,-0.1,OFF,1000.00,OFF,-0.34,0.00,0.06,0.00,-0.01,0.00,776,850,0,0,OFF,Closed,100W MAX!,0.04,0,0,0,OFF,Closed,Al,0.00,0,0,0,OFF,Closed,Hf,0.00,0,0,0,0,OFF,Closed,Ti,0.31,0,Watts,0,0,0,OFF,Closed,Nb,1.08,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,0,0,0,OFF,Closed,Ta,0.61,0,Watts
28-Jun-25,5:31:51 PM,5,ON,30,0.42,-0.1,OFF,1000.00,OFF,-0.34,0.00,0.06,0.00,-0.01,0.00,776,850,0,0,OFF,Closed,100W MAX!,0.04,0,0,0,OFF,Closed,Al,0.00,0,0,0,OFF,Closed,Hf,0.00,0,0,0,0,OFF,Closed,Ti,0.31,0,Watts,0,0,0,OFF,Closed,Nb,1.08,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,0,0,0,OFF,Closed,Ta,0.61,0,Watts
28-Jun-25,5:31:53 PM,5,ON,30,0.42,-0.0,OFF,1000.00,OFF,-0.34,0.00,0.06,0.00,-0.01,0.00,778,850,0,0,OFF,Closed,100W MAX!,0.04,0,0,0,OFF,Closed,Al,0.00,0,0,0,OFF,Closed,Hf,0.00,0,0,0,0,OFF,Closed,Ti,0.31,0,Watts,0,0,0,OFF,Closed,Nb,1.08,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,0,0,0,OFF,Closed,Ta,0.61,0,Watts
28-Jun-25,5:31:55 PM,5,ON,30,0.42,-0.0,OFF,1000.00,OFF,-0.34,0.00,0.06,0.00,-0.01,0.00,778,850,0,0,OFF,Closed,100W MAX!,0.04,0,0,0,OFF,Closed,Al,0.00,0,0,0,OFF,Closed,Hf,0.00,0,0,0,0,OFF,Closed,Ti,0.31,0,Watts,0,0,0,OFF,Closed,Nb,1.08,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,0,0,0,OFF,Closed,Ta,0.61,0,Watts
28-Jun-25,5:31:57 PM,5,ON,30,0.42,-0.0,OFF,1000.00,OFF,-0.34,0.00,0.06,0.00,-0.01,0.00,781,850,0,0,OFF,Closed,100W MAX!,0.04,0,0,0,OFF,Closed,Al,0.00,0,0,0,OFF,Closed,Hf,0.00,0,0,0,0,OFF,Closed,Ti,0.31,0,Watts,0,0,0,OFF,Closed,Nb,1.08,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,0,0,0,OFF,Closed,Ta,0.61,0,Watts
28-Jun-25,5:32:00 PM,5,ON,30,0.42,-0.1,OFF,1000.00,OFF,-0.34,0.00,0.06,0.00,-0.01,0.00,781,850,0,0,OFF,Closed,100W MAX!,0.04,0,0,0,OFF,Closed,Al,0.00,0,0,0,OFF,Closed,Hf,0.00,0,0,0,0,OFF,Closed,Ti,0.31,0,Watts,0,0,0,OFF,Closed,Nb,1.08,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,0,0,0,OFF,Closed,Ta,0.61,0,Watts
28-Jun-25,5:32:02 PM,5,ON,30,0.42,-0.1,OFF,1000.00,OFF,-0.34,0.00,0.06,0.00,-0.01,0.00,781,850,0,0,OFF,Closed,100W MAX!,0.04,0,0,0,OFF,Closed,Al,0.00,0,0,0,OFF,Closed,Hf,0.00,0,0,0,0,OFF,Closed,Ti,0.31,0,Watts,0,0,0,OFF,Closed,Nb,1.08,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,0,0,0,OFF,Closed,Ta,0.61,0,Watts
28-Jun-25,5:32:04 PM,5,ON,30,0.42,-0.1,OFF,1000.00,OFF,-0.34,0.00,0.06,0.00,-0.01,0.00,784,850,0,0,OFF,Closed,100W MAX!,0.04,0,0,0,OFF,Closed,Al,0.00,0,0,0,OFF,Closed,Hf,0.00,0,0,0,0,OFF,Closed,Ti,0.31,0,Watts,0,0,0,OFF,Closed,Nb,1.08,0,Watts,0,0,0,OFF,Closed,Sn,0.02,0,Watts,1,0,0,0,OFF,Closed,Ta,0.61,0,Watts
